"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CHICLAYO (000)",271456,2927,86958,102007,69823,9741
"Agric., ganadería, caza y silvicultura (001)",28659,459,8029,9504,8585,2082
"Pesca (002)",1427,11,542,558,277,39
"Explotación de minas y canteras (003)",507,5,207,201,86,8
"Industrias manufactureras (004)",26814,324,8880,9384,7087,1139
"Suministro de electricidad, gas y agua (005)",1000,3,219,448,311,19
"Construcción (006)",16935,90,5506,6474,4286,579
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",70777,1097,21838,26270,18534,3038
"Venta, mant.y rep. veh.autom.y motoc. (008)",7020,86,2647,2404,1652,231
"Comercio al por mayor (009)",4553,27,1752,1743,917,114
"Comercio al por menor (010)",59204,984,17439,22123,15965,2693
"Hoteles y restaurantes (011)",12308,195,4559,4189,2993,372
"Trans., almac. y comunicaciones (012)",33013,185,12348,12741,7013,726
"Intermediación financiera (013)",2285,2,951,937,378,17
"Activid.inmobil., empres. y alquileres (014)",12184,41,4233,4853,2789,268
"Admin.pub. y defensa; p. segur.soc.afil (015)",9759,,2050,4374,3180,155
"Enseñanza (016)",19652,4,4635,9083,5667,263
"Servicios sociales y de salud (017)",7372,5,1502,3179,2513,173
"Otras activ. serv.comun.soc y personales (018)",9558,137,3126,3629,2336,330
"Hogares privados con servicio doméstico (019)",10050,333,5197,2865,1483,172
"Organiz. y organos extraterritoriales (020)",1,,,,1,
"Actividad economica no especificada (021)",9155,36,3136,3318,2304,361
"Hombres (022)",175434,2010,54869,64390,46786,7379
"Agric., ganadería, caza y silvicultura (023)",25955,379,7251,8425,7931,1969
"Pesca (024)",1381,11,525,540,267,38
"Explotación de minas y canteras (025)",465,5,188,183,81,8
"Industrias manufactureras (026)",18854,265,6527,6316,4941,805
"Suministro de electricidad, gas y agua (027)",869,3,181,381,285,19
"Construcción (028)",16551,86,5338,6319,4231,577
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",38877,783,12275,13809,10097,1913
"Venta, mant.y rep. veh.autom.y motoc. (030)",6447,85,2400,2159,1579,224
"Comercio al por mayor (031)",2823,18,1069,1068,587,81
"Comercio al por menor (032)",29607,680,8806,10582,7931,1608
"Hoteles y restaurantes (033)",3971,99,1698,1196,847,131
"Trans., almac. y comunicaciones (034)",30620,166,11069,11963,6705,717
"Intermediación financiera (035)",1354,1,491,582,265,15
