"CUADRO Nº 27: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia URUBAMBA (000)",19685,4380,2759,9804,362,1997,383
"Sin nivel (001)",1265,46,80,855,10,252,22
"Educación inicial (002)",9,,3,5,,,1
"Primaria (003)",5695,298,741,3658,82,789,127
"Secundaria (004)",7994,1427,1565,3882,160,776,184
"Superior no univ. incompleta (005)",1067,427,136,400,23,66,15
"Superior no univ. completa (006)",1716,1057,126,434,25,57,17
"Superior univ. incompleta (007)",557,252,58,197,19,20,11
"Superior univ. completa (008)",1382,873,50,373,43,37,6
"Hombres (010)",13371,2672,2538,6665,262,1158,76
"Sin nivel (011)",631,20,51,478,3,75,4
"Educación inicial (012)",4,,3,1,,,
"Primaria (013)",4072,191,682,2660,53,459,27
"Secundaria (014)",5767,994,1468,2622,121,528,34
"Superior no univ. incompleta (015)",704,270,127,250,15,36,6
"Superior no univ. completa (016)",972,529,113,284,17,27,2
"Superior univ. incompleta (017)",394,184,50,127,16,15,2
"Superior univ. completa (018)",827,484,44,243,37,18,1
"Mujeres (020)",6314,1708,221,3139,100,839,307
"Sin nivel (021)",634,26,29,377,7,177,18
"Educación inicial (022)",5,,,4,,,1
"Primaria (023)",1623,107,59,998,29,330,100
"Secundaria (024)",2227,433,97,1260,39,248,150
"Superior no univ. incompleta (025)",363,157,9,150,8,30,9
"Superior no univ. completa (026)",744,528,13,150,8,30,15
"Superior univ. incompleta (027)",163,68,8,70,3,5,9
"Superior univ. completa (028)",555,389,6,130,6,19,5
,,,,,,,
"URBANA (030)",11185,3676,1562,4688,263,707,289
"Sin nivel (031)",362,38,36,233,6,35,14
"Educación inicial (032)",5,,2,2,,,1
"Primaria (033)",2158,217,349,1220,49,238,85
"Secundaria (034)",4718,1124,898,2129,113,309,145
"Superior no univ. incompleta (035)",820,356,97,288,21,44,14
"Superior no univ. completa (036)",1423,921,91,337,21,37,16
"Superior univ. incompleta (037)",487,230,46,167,17,17,10
"Superior univ. completa (038)",1212,790,43,312,36,27,4
"Hombres (040)",6720,2195,1404,2515,185,359,62
"Sin nivel (041)",118,19,21,64,1,11,2
"Educación inicial (042)",2,,2,,,,
"Primaria (043)",1224,125,310,619,29,117,24
"Secundaria (044)",3041,780,823,1162,79,170,27
"Superior no univ. incompleta (045)",524,226,91,166,14,22,5
"Superior no univ. completa (046)",774,453,81,209,15,14,2
"Superior univ. incompleta (047)",331,162,39,102,15,12,1
"Superior univ. completa (048)",706,430,37,193,32,13,1
"Mujeres (050)",4465,1481,158,2173,78,348,227
"Sin nivel (051)",244,19,15,169,5,24,12
"Educación inicial (052)",3,,,2,,,1
"Primaria (053)",934,92,39,601,20,121,61
"Secundaria (054)",1677,344,75,967,34,139,118
"Superior no univ. incompleta (055)",296,130,6,122,7,22,9
"Superior no univ. completa (056)",649,468,10,128,6,23,14
"Superior univ. incompleta (057)",156,68,7,65,2,5,9
"Superior univ. completa (058)",506,360,6,119,4,14,3
,,,,,,,
"RURAL (060)",8500,704,1197,5116,99,1290,94
"Sin nivel (061)",903,8,44,622,4,217,8
"Educación inicial (062)",4,,1,3,,,
"Primaria (063)",3537,81,392,2438,33,551,42
"Secundaria (064)",3276,303,667,1753,47,467,39
"Superior no univ. incompleta (065)",247,71,39,112,2,22,1
"Superior no univ. completa (066)",293,136,35,97,4,20,1
"Superior univ. incompleta (067)",70,22,12,30,2,3,1
"Superior univ. completa (068)",170,83,7,61,7,10,2
"Hombres (070)",6651,477,1134,4150,77,799,14
"Sin nivel (071)",513,1,30,414,2,64,2
"Educación inicial (072)",2,,1,1,,,
"Primaria (073)",2848,66,372,2041,24,342,3
"Secundaria (074)",2726,214,645,1460,42,358,7
"Superior no univ. incompleta (075)",180,44,36,84,1,14,1
"Superior no univ. completa (076)",198,76,32,75,2,13,
"Superior univ. incompleta (077)",63,22,11,25,1,3,1
"Superior univ. completa (078)",121,54,7,50,5,5,
"Mujeres (080)",1849,227,63,966,22,491,80
"Sin nivel (081)",390,7,14,208,2,153,6
"Educación inicial (082)",2,,,2,,,
"Primaria (083)",689,15,20,397,9,209,39
"Secundaria (084)",550,89,22,293,5,109,32
"Superior no univ. incompleta (085)",67,27,3,28,1,8,
"Superior no univ. completa (086)",95,60,3,22,2,7,1
"Superior univ. incompleta (087)",7,,1,5,1,,
"Superior univ. completa (088)",49,29,,11,2,5,2
