"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia LUYA (000)",15711,14003,664,175,869
"Sin nivel (001)",1207,1172,19,3,13
"Educación inicial (002)",20,19,1,,
"Primaria (003)",9202,8829,294,23,56
"Secundaria (004)",3542,3269,147,23,103
"Superior no univ. incompleta (005)",323,213,29,9,72
"Superior no univ. completa (006)",813,295,91,72,355
"Superior univ. incompleta (007)",182,91,16,4,71
"Superior univ. completa (008)",422,115,67,41,199
"De 06 a 14 años (010)",379,363,14,2,
"Sin nivel (011)",20,20,,,
"Educación inicial (012)",3,3,,,
"Primaria (013)",314,299,13,2,
"Secundaria (014)",42,41,1,,
"De 15 a 29 años (020)",4982,4523,221,27,211
"Sin nivel (021)",143,135,5,,3
"Educación inicial (022)",8,8,,,
"Primaria (023)",2549,2440,86,3,20
"Secundaria (024)",1800,1678,83,7,32
"Superior no univ. incompleta (025)",100,71,6,2,21
"Superior no univ. completa (026)",238,125,24,14,75
"Superior univ. incompleta (027)",60,33,8,,19
"Superior univ. completa (028)",84,33,9,1,41
"De 30 a 44 años (030)",5034,4196,268,97,473
"Sin nivel (031)",231,222,4,,5
"Educación inicial (032)",9,8,1,,
"Primaria (033)",2680,2548,106,8,18
"Secundaria (034)",1202,1114,43,9,36
"Superior no univ. incompleta (035)",149,95,16,5,33
"Superior no univ. completa (036)",441,121,54,47,219
"Superior univ. incompleta (037)",82,34,7,3,38
"Superior univ. completa (038)",240,54,37,25,124
"De 45 a 64 años (040)",3759,3411,131,44,173
"Sin nivel (041)",436,430,3,,3
"Primaria (043)",2557,2465,66,8,18
"Secundaria (044)",450,391,20,7,32
"Superior no univ. incompleta (045)",62,38,7,2,15
"Superior no univ. completa (046)",128,44,13,11,60
"Superior univ. incompleta (047)",34,19,1,1,13
"Superior univ. completa (048)",92,24,21,15,32
"De 65 y más años (050)",1557,1510,30,5,12
"Sin nivel (051)",377,365,7,3,2
"Primaria (053)",1102,1077,23,2,
"Secundaria (054)",48,45,,,3
"Superior no univ. incompleta (055)",12,9,,,3
"Superior no univ. completa (056)",6,5,,,1
"Superior univ. incompleta (057)",6,5,,,1
"Superior univ. completa (058)",6,4,,,2
,,,,,
"URBANA (060)",6785,5637,355,138,655
