"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CHUCUITO (000)",43840,39016,2303,632,1889
"Hombres (001)",27164,23531,1693,501,1439
"Mujeres (002)",16676,15485,610,131,450
"De 06 a 14 años (003)",541,522,11,7,1
"Hombres (004)",307,295,7,4,1
"Mujeres (005)",234,227,4,3,
"De 15 a 29 años (006)",13938,12391,844,150,553
"Hombres (007)",8098,7014,585,113,386
"Mujeres (008)",5840,5377,259,37,167
"De 30 a 44 años (009)",14356,12357,867,281,851
"Hombres (010)",9093,7589,643,215,646
"Mujeres (011)",5263,4768,224,66,205
"De 45 a 64 años (012)",11132,9961,526,188,457
"Hombres (013)",7127,6162,419,164,382
"Mujeres (014)",4005,3799,107,24,75
"De 65 y más años (015)",3873,3785,55,6,27
"Hombres (016)",2539,2471,39,5,24
"Mujeres (017)",1334,1314,16,1,3
,,,,,
"URBANA (018)",12309,9653,1001,375,1280
"Hombres (019)",7519,5580,711,289,939
"Mujeres (020)",4790,4073,290,86,341
"De 06 a 14 años (021)",154,140,10,3,1
"Hombres (022)",95,86,7,1,1
"Mujeres (023)",59,54,3,2,
"De 15 a 29 años (024)",4461,3604,394,92,371
"Hombres (025)",2603,2004,271,66,262
"Mujeres (026)",1858,1600,123,26,109
"De 30 a 44 años (027)",4559,3400,386,175,598
"Hombres (028)",2840,1998,277,132,433
"Mujeres (029)",1719,1402,109,43,165
"De 45 a 64 años (030)",2632,2049,190,103,290
"Hombres (031)",1675,1217,144,88,226
"Mujeres (032)",957,832,46,15,64
"De 65 y más años (033)",503,460,21,2,20
"Hombres (034)",306,275,12,2,17
"Mujeres (035)",197,185,9,,3
,,,,,
"RURAL (036)",31531,29363,1302,257,609
"Hombres (037)",19645,17951,982,212,500
"Mujeres (038)",11886,11412,320,45,109
"De 06 a 14 años (039)",387,382,1,4,
"Hombres (040)",212,209,,3,
"Mujeres (041)",175,173,1,1,
"De 15 a 29 años (042)",9477,8787,450,58,182
"Hombres (043)",5495,5010,314,47,124
"Mujeres (044)",3982,3777,136,11,58
"De 30 a 44 años (045)",9797,8957,481,106,253
"Hombres (046)",6253,5591,366,83,213
"Mujeres (047)",3544,3366,115,23,40
"De 45 a 64 años (048)",8500,7912,336,85,167
"Hombres (049)",5452,4945,275,76,156
"Mujeres (050)",3048,2967,61,9,11
"De 65 y más años (051)",3370,3325,34,4,7
"Hombres (052)",2233,2196,27,3,7
"Mujeres (053)",1137,1129,7,1,
