"CUADRO Nº 19: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia ACOBAMBA (000)",16591,1302,1638,7649,111,4632,78,1181
"Agric., ganadería, caza y silvicultura (001)",11794,12,1263,6038,81,4400,,
"Pesca (002)",4,,1,1,,2,,
"Explotación de minas y canteras (003)",25,5,12,,7,1,,
"Industrias manufactureras (004)",168,6,36,111,3,12,,
"Suministro de electricidad, gas y agua (005)",9,2,7,,,,,
"Construcción (006)",260,12,190,46,2,10,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",985,58,2,810,6,109,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",39,4,2,29,2,2,,
"Comercio al por mayor (009)",33,4,,26,,3,,
"Comercio al por menor (010)",913,50,,755,4,104,,
"Hoteles y restaurantes (011)",217,38,5,163,3,8,,
"Trans., almac. y comunicaciones (012)",181,44,30,104,1,2,,
"Intermediación financiera (013)",1,1,,,,,,
"Activid.inmobil., empres. y alquileres (014)",94,62,1,27,4,,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",255,210,45,,,,,
"Enseñanza (016)",634,594,1,27,2,10,,
"Servicios sociales y de salud (017)",158,144,3,11,,,,
"Otras activ. serv.comun.soc y personales (018)",75,33,1,40,,1,,
"Hogares privados con servicio doméstico (019)",78,,,,,,78,
"Actividad economica no especificada (021)",472,81,41,271,2,77,,
"Desocupado (022)",1181,,,,,,,1181
"Hombres (023)",11320,794,1212,5871,87,2418,14,924
"Agric., ganadería, caza y silvicultura (024)",8270,9,879,4986,64,2332,,
"Pesca (025)",1,,,,,1,,
"Explotación de minas y canteras (026)",25,5,12,,7,1,,
"Industrias manufactureras (027)",131,5,31,83,2,10,,
"Suministro de electricidad, gas y agua (028)",8,1,7,,,,,
"Construcción (029)",250,12,184,44,2,8,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",495,27,2,431,5,30,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",35,4,2,25,2,2,,
"Comercio al por mayor (032)",18,1,,17,,,,
"Comercio al por menor (033)",442,22,,389,3,28,,
"Hoteles y restaurantes (034)",66,9,2,50,2,3,,
"Trans., almac. y comunicaciones (035)",174,39,29,103,1,2,,
"Intermediación financiera (036)",1,1,,,,,,
"Activid.inmobil., empres. y alquileres (037)",74,47,1,24,2,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",207,170,37,,,,,
"Enseñanza (039)",362,341,1,11,2,7,,
"Servicios sociales y de salud (040)",71,64,,7,,,,
"Otras activ. serv.comun.soc y personales (041)",41,22,1,18,,,,
"Hogares privados con servicio doméstico (042)",14,,,,,,14,
"Actividad economica no especificada (044)",206,42,26,114,,24,,
"Desocupado (045)",924,,,,,,,924
"Mujeres (046)",5271,508,426,1778,24,2214,64,257
"Agric., ganadería, caza y silvicultura (047)",3524,3,384,1052,17,2068,,
"Pesca (048)",3,,1,1,,1,,
"Industrias manufactureras (050)",37,1,5,28,1,2,,
"Suministro de electricidad, gas y agua (051)",1,1,,,,,,
"Construcción (052)",10,,6,2,,2,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",490,31,,379,1,79,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",4,,,4,,,,
"Comercio al por mayor (055)",15,3,,9,,3,,
"Comercio al por menor (056)",471,28,,366,1,76,,
"Hoteles y restaurantes (057)",151,29,3,113,1,5,,
"Trans., almac. y comunicaciones (058)",7,5,1,1,,,,
"Activid.inmobil., empres. y alquileres (060)",20,15,,3,2,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",48,40,8,,,,,
"Enseñanza (062)",272,253,,16,,3,,
"Servicios sociales y de salud (063)",87,80,3,4,,,,
"Otras activ. serv.comun.soc y personales (064)",34,11,,22,,1,,
"Hogares privados con servicio doméstico (065)",64,,,,,,64,
"Actividad economica no especificada (067)",266,39,15,157,2,53,,
"Desocupado (068)",257,,,,,,,257
,,,,,,,,
"URBANA (069)",5534,982,687,2443,57,732,50,583
"Agric., ganadería, caza y silvicultura (070)",2480,8,466,1364,38,604,,
"Pesca (071)",1,,1,,,,,
"Explotación de minas y canteras (072)",4,1,3,,,,,
"Industrias manufactureras (073)",115,3,26,75,3,8,,
"Suministro de electricidad, gas y agua (074)",5,2,3,,,,,
"Construcción (075)",149,9,109,28,2,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (076)",726,31,1,603,6,85,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",30,3,1,23,2,1,,
"Comercio al por mayor (078)",25,2,,20,,3,,
"Comercio al por menor (079)",671,26,,560,4,81,,
"Hoteles y restaurantes (080)",172,28,3,131,3,7,,
"Trans., almac. y comunicaciones (081)",130,28,22,78,1,1,,
"Intermediación financiera (082)",1,1,,,,,,
"Activid.inmobil., empres. y alquileres (083)",78,51,,23,4,,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",194,167,27,,,,,
"Enseñanza (085)",495,469,1,18,,7,,
"Servicios sociales y de salud (086)",118,107,1,10,,,,
"Otras activ. serv.comun.soc y personales (087)",55,22,1,32,,,,
"Hogares privados con servicio doméstico (088)",50,,,,,,50,
"Actividad economica no especificada (090)",178,55,23,81,,19,,
"Desocupado (091)",583,,,,,,,583
"Hombres (092)",3539,575,522,1603,43,339,8,449
"Agric., ganadería, caza y silvicultura (093)",1707,5,324,1049,29,300,,
"Explotación de minas y canteras (095)",4,1,3,,,,,
"Industrias manufactureras (096)",88,2,22,56,2,6,,
"Suministro de electricidad, gas y agua (097)",4,1,3,,,,,
"Construcción (098)",144,9,105,27,2,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (099)",322,13,1,284,5,19,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",26,3,1,19,2,1,,
"Comercio al por mayor (101)",12,,,12,,,,
"Comercio al por menor (102)",284,10,,253,3,18,,
"Hoteles y restaurantes (103)",50,7,1,38,2,2,,
"Trans., almac. y comunicaciones (104)",124,23,21,78,1,1,,
"Intermediación financiera (105)",1,1,,,,,,
"Activid.inmobil., empres. y alquileres (106)",62,38,,22,2,,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",157,134,23,,,,,
"Enseñanza (108)",264,254,1,4,,5,,
"Servicios sociales y de salud (109)",53,47,,6,,,,
"Otras activ. serv.comun.soc y personales (110)",26,12,1,13,,,,
"Hogares privados con servicio doméstico (111)",8,,,,,,8,
"Actividad economica no especificada (113)",76,28,17,26,,5,,
"Desocupado (114)",449,,,,,,,449
"Mujeres (115)",1995,407,165,840,14,393,42,134
"Agric., ganadería, caza y silvicultura (116)",773,3,142,315,9,304,,
"Pesca (117)",1,,1,,,,,
"Industrias manufactureras (119)",27,1,4,19,1,2,,
"Suministro de electricidad, gas y agua (120)",1,1,,,,,,
"Construcción (121)",5,,4,1,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (122)",404,18,,319,1,66,,
