"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia EL COLLAO (000)",72814,15395,21273,15050,13549,7547
"Sin nivel (001)",7885,160,147,631,2972,3975
"Educación inicial (002)",601,566,17,18,,
"Primaria (003)",29133,10657,2720,5246,7323,3187
"Secundaria (004)",26849,4012,13679,6466,2404,288
"Superior no univ. incompleta (005)",2679,,1953,575,140,11
"Superior no univ. completa (006)",2247,,1058,928,236,25
"Superior univ. incompleta (007)",1540,,1092,299,136,13
"Superior univ. completa (008)",1880,,607,887,338,48
"PEA (010)",33360,488,9649,10227,9124,3872
"Sin nivel (011)",3676,9,78,330,1570,1689
"Educación inicial (012)",31,8,11,12,,
"Primaria (013)",11901,257,1490,3185,5007,1962
"Secundaria (014)",13012,214,6184,4594,1852,168
"Superior no univ. incompleta (015)",1167,,621,430,106,10
"Superior no univ. completa (016)",1576,,630,734,200,12
"Superior univ. incompleta (017)",587,,248,220,112,7
"Superior univ. completa (018)",1410,,387,722,277,24
"Ocupada (020)",31442,469,8622,9722,8834,3795
"Sin nivel (021)",3611,5,73,321,1546,1666
"Educación inicial (022)",31,8,11,12,,
"Primaria (023)",11459,250,1374,3077,4841,1917
"Secundaria (024)",11978,206,5503,4342,1768,159
"Superior no univ. incompleta (025)",1059,,554,395,100,10
"Superior no univ. completa (026)",1451,,555,690,194,12
"Superior univ. incompleta (027)",553,,225,209,112,7
"Superior univ. completa (028)",1300,,327,676,273,24
"Desocupada (030)",1918,19,1027,505,290,77
