"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CONDORCANQUI (000)",8505,8258,42,1449,1307,1116,1988,1359,738,259,247,34003
"De 12 a 14 años (001)",24,12,2,8,2,,,,,,12,12
"De 15 a 19 años (002)",837,783,9,581,159,31,3,,,,54,1004
"De 20 a 24 años (003)",1563,1481,5,440,517,318,183,18,,,82,3311
"De 25 a 29 años (004)",1551,1506,3,198,276,362,514,130,23,,45,5108
"De 30 a 34 años (005)",1135,1123,4,81,129,142,407,283,67,10,12,5068
"De 35 a 39 años (006)",1086,1079,1,35,76,92,337,326,173,39,7,5964
"De 40 a 44 años (007)",656,648,3,18,44,61,148,176,143,55,8,3906
"De 45 a 49 años (008)",534,530,,25,29,34,109,153,129,51,4,3315
"De 50 y más años (009)",1119,1096,15,63,75,76,287,273,203,104,23,6315
"Sin nivel (010)",2441,2385,17,214,234,278,671,528,317,126,56,11971
"De 12 a 14 años (011)",2,1,,1,,,,,,,1,1
"De 15 a 19 años (012)",91,82,,59,19,4,,,,,9,109
"De 20 a 24 años (013)",223,206,,33,57,63,49,4,,,17,573
"De 25 a 29 años (014)",280,274,,22,38,60,104,38,12,,6,1086
"De 30 a 34 años (015)",207,205,1,12,11,30,67,62,20,2,2,1028
"De 35 a 39 años (016)",301,300,,13,18,23,97,92,41,16,1,1676
"De 40 a 44 años (017)",234,229,2,6,16,24,52,67,48,14,5,1336
"De 45 a 49 años (018)",275,273,,16,16,15,69,72,57,28,2,1656
"De 50 y más años (019)",828,815,14,52,59,59,233,193,139,66,13,4506
"Educacion Inicial (020)",28,28,,2,5,3,12,5,1,,,114
"De 15 a 19 años (022)",4,4,,1,2,1,,,,,,8
