"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia LAURICOCHA (000)",32948,1777,4830,5302,3419,4962,4310,6279,2069
"Sabe leer y escribir (001)",28092,,3694,5159,3314,4756,4068,5564,1537
"No sabe leer y escribir (002)",4856,1777,1136,143,105,206,242,715,532
"Hombres (004)",17103,931,2470,2811,1815,2589,2279,3217,991
"Sabe leer y escribir (005)",15078,,1902,2728,1776,2523,2210,3043,896
"No sabe leer y escribir (006)",2025,931,568,83,39,66,69,174,95
"Mujeres (008)",15845,846,2360,2491,1604,2373,2031,3062,1078
"Sabe leer y escribir (009)",13014,,1792,2431,1538,2233,1858,2521,641
"No sabe leer y escribir (010)",2831,846,568,60,66,140,173,541,437
,,,,,,,,,
"URBANA (012)",7452,358,989,1167,867,1064,972,1498,537
"Sabe leer y escribir (013)",6636,,807,1164,863,1050,943,1385,424
"No sabe leer y escribir (014)",816,358,182,3,4,14,29,113,113
"Hombres (016)",3697,197,487,622,468,502,460,717,244
"Sabe leer y escribir (017)",3364,,396,620,467,498,456,699,228
"No sabe leer y escribir (018)",333,197,91,2,1,4,4,18,16
"Mujeres (020)",3755,161,502,545,399,562,512,781,293
"Sabe leer y escribir (021)",3272,,411,544,396,552,487,686,196
"No sabe leer y escribir (022)",483,161,91,1,3,10,25,95,97
,,,,,,,,,
"RURAL (024)",25496,1419,3841,4135,2552,3898,3338,4781,1532
"Sabe leer y escribir (025)",21456,,2887,3995,2451,3706,3125,4179,1113
"No sabe leer y escribir (026)",4040,1419,954,140,101,192,213,602,419
"Hombres (028)",13406,734,1983,2189,1347,2087,1819,2500,747
"Sabe leer y escribir (029)",11714,,1506,2108,1309,2025,1754,2344,668
"No sabe leer y escribir (030)",1692,734,477,81,38,62,65,156,79
"Mujeres (032)",12090,685,1858,1946,1205,1811,1519,2281,785
"Sabe leer y escribir (033)",9742,,1381,1887,1142,1681,1371,1835,445
"No sabe leer y escribir (034)",2348,685,477,59,63,130,148,446,340
