"CUADRO Nº 6: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia VILCAS HUAMAN (000)",5937,165,1556,2047,1425,744
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (001)",26,,2,14,10,
"Profes., científicos e intelectuales (002)",520,,96,276,146,2
"Técnicos de nivel medio y trab. asimilados (003)",67,,23,36,8,
"Jefes y empleados de oficina (004)",105,,20,46,35,4
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",318,3,106,120,65,24
"Agricult. trabaj. calif.agrop. y pesqueros (006)",2242,7,439,731,606,459
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",149,,53,64,26,6
"Obreros construc., conf., papel, fab., instr. (008)",199,1,47,101,43,7
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (009)",1937,151,656,547,388,195
"Otra (010)",9,,3,6,,
"Ocupación no especificada (011)",365,3,111,106,98,47
"Hombres (012)",4514,106,1174,1564,1085,585
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (013)",21,,2,11,8,
"Profes., científicos e intelectuales (014)",337,,41,171,123,2
"Técnicos de nivel medio y trab. asimilados (015)",52,,16,29,7,
"Jefes y empleados de oficina (016)",79,,15,29,31,4
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",98,1,38,38,13,8
"Agricult. trabaj. calif.agrop. y pesqueros (018)",2034,5,410,680,531,408
"Obreros y oper.minas, cant.,ind.manuf. y otros (019)",134,,47,57,24,6
"Obreros construc., conf., papel, fab., instr. (020)",192,1,44,98,42,7
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (021)",1376,97,504,388,255,132
"Otra (022)",9,,3,6,,
"Ocupación no especificada (023)",182,2,54,57,51,18
"Mujeres (024)",1423,59,382,483,340,159
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (025)",5,,,3,2,
"Profes., científicos e intelectuales (026)",183,,55,105,23,
"Técnicos de nivel medio y trab. asimilados (027)",15,,7,7,1,
"Jefes y empleados de oficina (028)",26,,5,17,4,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",220,2,68,82,52,16
"Agricult. trabaj. calif.agrop. y pesqueros (030)",208,2,29,51,75,51
"Obreros y oper.minas, cant.,ind.manuf. y otros (031)",15,,6,7,2,
"Obreros construc., conf., papel, fab., instr. (032)",7,,3,3,1,
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (033)",561,54,152,159,133,63
"Ocupación no especificada (035)",183,1,57,49,47,29
