"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CONDESUYOS (000)",4687,4525,8,836,883,728,1000,615,334,121,162,17271
"De 12 a 14 años (001)",11,3,,3,,,,,,,8,3
"De 15 a 19 años (002)",102,93,1,79,11,1,1,,,,9,108
"De 20 a 24 años (003)",464,417,,267,117,24,8,1,,,47,614
"De 25 a 29 años (004)",500,466,,164,168,84,46,3,1,,34,970
"De 30 a 34 años (005)",500,481,1,90,156,116,96,18,4,,19,1314
"De 35 a 39 años (006)",538,530,1,57,142,137,127,51,13,2,8,1762
"De 40 a 44 años (007)",491,484,1,43,95,105,165,53,16,6,7,1811
"De 45 a 49 años (008)",389,378,,33,49,60,107,89,31,9,11,1719
"De 50 y más años (009)",1692,1673,4,100,145,201,450,400,269,104,19,8970
"Sin nivel (010)",1210,1196,3,76,119,143,333,290,165,67,14,6204
"De 12 a 14 años (011)",1,1,,1,,,,,,,,1
"De 15 a 19 años (012)",3,2,,2,,,,,,,1,2
"De 20 a 24 años (013)",8,7,,3,2,1,1,,,,1,14
"De 25 a 29 años (014)",15,13,,3,1,5,3,,1,,2,41
"De 30 a 34 años (015)",55,53,,5,12,8,17,7,4,,2,203
"De 35 a 39 años (016)",68,68,,2,13,13,16,19,5,,,304
"De 40 a 44 años (017)",106,104,,4,12,13,47,16,8,4,2,489
"De 45 a 49 años (018)",101,101,,4,6,5,28,36,16,6,,586
"De 50 y más años (019)",853,847,3,52,73,98,221,212,131,57,6,4564
"Educacion Inicial (020)",4,4,,2,1,1,,,,,,7
"De 20 a 24 años (023)",1,1,,1,,,,,,,,1
"De 25 a 29 años (024)",1,1,,,1,,,,,,,2
"De 35 a 39 años (026)",2,2,,1,,1,,,,,,4
