"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CANAS (000)",13343,12889,3736,1247,1251,1146,2091,1641,1037,740,454,44191
"De 12 a 14 años (001)",1543,1530,1522,7,1,,,,,,13,9
"De 15 a 19 años (002)",1720,1678,1507,139,25,6,1,,,,42,211
"De 20 a 24 años (003)",1226,1064,335,358,255,78,34,4,,,162,1270
"De 25 a 29 años (004)",1117,1016,65,236,268,237,187,22,1,,101,2438
"De 30 a 34 años (005)",1070,1024,40,132,204,212,309,107,16,4,46,3417
"De 35 a 39 años (006)",1176,1154,31,81,145,185,373,252,73,14,22,4976
"De 40 a 44 años (007)",1009,1004,29,60,62,92,283,232,165,81,5,5521
"De 45 a 49 años (008)",885,872,17,40,66,79,188,227,162,93,13,5133
"De 50 y más años (009)",3597,3547,190,194,225,257,716,797,620,548,50,21216
"Sin nivel (010)",3538,3480,208,214,231,254,738,782,549,504,58,20147
"De 12 a 14 años (011)",8,8,7,1,,,,,,,,1
"De 15 a 19 años (012)",15,14,10,1,1,1,1,,,,1,10
"De 20 a 24 años (013)",34,32,12,5,5,4,3,3,,,2,58
"De 25 a 29 años (014)",56,52,2,12,8,12,15,3,,,4,145
"De 30 a 34 años (015)",104,99,4,8,10,20,32,20,4,1,5,406
"De 35 a 39 años (016)",185,181,10,17,17,12,58,50,14,3,4,820
"De 40 a 44 años (017)",217,215,9,11,13,13,45,54,44,26,2,1285
"De 45 a 49 años (018)",259,254,7,15,12,13,57,60,49,41,5,1592
"De 50 y más años (019)",2660,2625,147,144,165,179,527,592,438,433,35,15830
"Educacion Inicial (020)",16,16,2,1,3,4,3,2,1,,,52
"De 15 a 19 años (022)",2,2,1,1,,,,,,,,1
"De 20 a 24 años (023)",4,4,1,,2,1,,,,,,7
