"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia CARLOS FERMIN FITZCARRALD (000)",21302,480,7918,5015,3298,3018,1573
"Jefe o Jefa (001)",5359,,6,974,1642,1799,938
"Esposa(o) / compañera(o) (002)",3467,,6,894,1234,1006,327
"Hijo(a) / hijastro(a) (003)",10081,382,6804,2616,237,41,1
"Yerno / nuera (004)",171,,3,116,47,4,1
"Nieto(a) (005)",759,61,619,75,4,,
"Padres / suegros (006)",288,,,,5,64,219
"Otro(a) pariente (007)",1052,36,469,283,98,86,80
"Trabajador(a) del hogar (008)",18,,1,14,2,1,
"Pensionistas (009)",29,,,13,14,2,
"Otro(a) no pariente (010)",78,1,10,30,15,15,7
"Hombres (011)",10293,258,3942,2451,1557,1388,697
"Jefe o Jefa (012)",3731,,3,703,1236,1227,562
"Esposa(o) / compañera(o) (013)",325,,6,83,106,87,43
"Hijo(a) / hijastro(a) (014)",5124,207,3381,1401,121,14,
"Yerno / nuera (015)",89,,1,57,26,4,1
"Nieto(a) (016)",393,33,319,38,3,,
"Padres / suegros (017)",63,,,,,11,52
"Otro(a) pariente (018)",506,18,226,150,45,32,35
"Pensionistas (020)",16,,,5,9,2,
"Otro(a) no pariente (021)",46,,6,14,11,11,4
"Mujeres (022)",11009,222,3976,2564,1741,1630,876
"Jefe o Jefa (023)",1628,,3,271,406,572,376
"Esposa(o) / compañera(o) (024)",3142,,,811,1128,919,284
"Hijo(a) / hijastro(a) (025)",4957,175,3423,1215,116,27,1
"Yerno / nuera (026)",82,,2,59,21,,
"Nieto(a) (027)",366,28,300,37,1,,
"Padres / suegros (028)",225,,,,5,53,167
"Otro(a) pariente (029)",546,18,243,133,53,54,45
"Trabajador(a) del hogar (030)",18,,1,14,2,1,
"Pensionistas (031)",13,,,8,5,,
"Otro(a) no pariente (032)",32,1,4,16,4,4,3
,,,,,,,
"URBANA (033)",3383,77,1086,869,661,485,205
"Jefe o Jefa (034)",952,,2,208,327,300,115
"Esposa(o) / compañera(o) (035)",548,,,151,225,134,38
"Hijo(a) / hijastro(a) (036)",1456,67,954,356,64,15,
"Yerno / nuera (037)",33,,,22,11,,
"Nieto(a) (038)",87,7,72,8,,,
"Padres / suegros (039)",43,,,,,9,34
"Otro(a) pariente (040)",183,2,50,82,21,13,15
"Trabajador(a) del hogar (041)",18,,1,14,2,1,
"Pensionistas (042)",6,,,4,1,1,
"Otro(a) no pariente (043)",57,1,7,24,10,12,3
"Hombres (044)",1657,43,541,411,311,253,98
"Jefe o Jefa (045)",665,,1,139,230,219,76
"Esposa(o) / compañera(o) (046)",51,,,12,21,13,5
"Hijo(a) / hijastro(a) (047)",758,40,481,194,38,5,
"Yerno / nuera (048)",14,,,8,6,,
"Nieto(a) (049)",37,3,33,1,,,
"Padres / suegros (050)",6,,,,,1,5
"Otro(a) pariente (051)",86,,21,46,6,4,9
"Pensionistas (053)",3,,,1,1,1,
"Otro(a) no pariente (054)",37,,5,10,9,10,3
"Mujeres (055)",1726,34,545,458,350,232,107
"Jefe o Jefa (056)",287,,1,69,97,81,39
"Esposa(o) / compañera(o) (057)",497,,,139,204,121,33
"Hijo(a) / hijastro(a) (058)",698,27,473,162,26,10,
"Yerno / nuera (059)",19,,,14,5,,
"Nieto(a) (060)",50,4,39,7,,,
"Padres / suegros (061)",37,,,,,8,29
"Otro(a) pariente (062)",97,2,29,36,15,9,6
"Trabajador(a) del hogar (063)",18,,1,14,2,1,
"Pensionistas (064)",3,,,3,,,
"Otro(a) no pariente (065)",20,1,2,14,1,2,
,,,,,,,
"RURAL (066)",17919,403,6832,4146,2637,2533,1368
"Jefe o Jefa (067)",4407,,4,766,1315,1499,823
"Esposa(o) / compañera(o) (068)",2919,,6,743,1009,872,289
"Hijo(a) / hijastro(a) (069)",8625,315,5850,2260,173,26,1
"Yerno / nuera (070)",138,,3,94,36,4,1
"Nieto(a) (071)",672,54,547,67,4,,
"Padres / suegros (072)",245,,,,5,55,185
"Otro(a) pariente (073)",869,34,419,201,77,73,65
"Pensionistas (075)",23,,,9,13,1,
"Otro(a) no pariente (076)",21,,3,6,5,3,4
"Hombres (077)",8636,215,3401,2040,1246,1135,599
"Jefe o Jefa (078)",3066,,2,564,1006,1008,486
"Esposa(o) / compañera(o) (079)",274,,6,71,85,74,38
"Hijo(a) / hijastro(a) (080)",4366,167,2900,1207,83,9,
"Yerno / nuera (081)",75,,1,49,20,4,1
"Nieto(a) (082)",356,30,286,37,3,,
"Padres / suegros (083)",57,,,,,10,47
"Otro(a) pariente (084)",420,18,205,104,39,28,26
"Pensionistas (086)",13,,,4,8,1,
"Otro(a) no pariente (087)",9,,1,4,2,1,1
"Mujeres (088)",9283,188,3431,2106,1391,1398,769
"Jefe o Jefa (089)",1341,,2,202,309,491,337
"Esposa(o) / compañera(o) (090)",2645,,,672,924,798,251
"Hijo(a) / hijastro(a) (091)",4259,148,2950,1053,90,17,1
"Yerno / nuera (092)",63,,2,45,16,,
"Nieto(a) (093)",316,24,261,30,1,,
"Padres / suegros (094)",188,,,,5,45,138
"Otro(a) pariente (095)",449,16,214,97,38,45,39
"Pensionistas (097)",10,,,5,5,,
"Otro(a) no pariente (098)",12,,2,2,3,2,3
