"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia ISLAY (000)",50252,45952,4300
"Casa independiente (001)",47800,44252,3548
"Departamento en edificio (002)",556,556,
"Vivienda en quinta (003)",223,223,
"Vivienda en casa de vecindad (004)",322,322,
"Choza o cabaña (005)",751,,751
"Vivienda improvisada (006)",532,532,
"Local no dest.para hab. humana (007)",57,56,1
"Otro tipo (008)",11,11,
