"CUADRO Nº 15: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia TUMBES (000)",54707,16535,9207,21669,1315,1773,1230,2978
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",155,144,,,11,,,
"Profes., científicos e intelectuales (002)",5719,4999,,647,61,12,,
"Técnicos de nivel medio y trab. asimilados (003)",2278,1524,,643,99,11,1,
"Jefes y empleados de oficina (004)",2683,2661,,14,,8,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",7662,2572,79,4257,212,540,2,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",6131,6,495,5018,601,11,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",4103,,1629,2293,114,67,,
"Obreros construc.,conf.,papel, fab., instr. (008)",7241,886,1547,4663,107,38,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",13251,2243,5199,3537,67,978,1227,
"Otra (010)",1057,1057,,,,,,
"Ocupaciñn no especificada (011)",1449,443,258,597,43,108,,
"Desocupado (012)",2978,,,,,,,2978
"Hombres (013)",38842,9638,8214,16608,1081,1128,60,2113
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",114,105,,,9,,,
"Profes., científicos e intelectuales (015)",2627,2217,,359,47,4,,
"Técnicos de nivel medio y trab. asimilados (016)",1397,933,,399,62,3,,
"Jefes y empleados de oficina (017)",1244,1235,,4,,5,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",3975,1635,31,2060,117,132,,
"Agricult.trabaj.calif.agrop.y pesqueros (019)",5963,6,453,4909,585,10,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (020)",3246,,1160,1935,101,50,,
"Obreros construc.,conf.,papel, fab., instr. (021)",7124,878,1518,4585,107,36,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (022)",9216,1374,4856,2036,31,859,60,
"Otra (023)",1039,1039,,,,,,
"Ocupaciñn no especificada (024)",784,216,196,321,22,29,,
"Desocupado (025)",2113,,,,,,,2113
"Mujeres (026)",15865,6897,993,5061,234,645,1170,865
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",41,39,,,2,,,
"Profes., científicos e intelectuales (028)",3092,2782,,288,14,8,,
"Técnicos de nivel medio y trab. asimilados (029)",881,591,,244,37,8,1,
"Jefes y empleados de oficina (030)",1439,1426,,10,,3,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",3687,937,48,2197,95,408,2,
"Agricult.trabaj.calif.agrop.y pesqueros (032)",168,,42,109,16,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (033)",857,,469,358,13,17,,
"Obreros construc.,conf.,papel, fab., instr. (034)",117,8,29,78,,2,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (035)",4035,869,343,1501,36,119,1167,
"Otra (036)",18,18,,,,,,
"Ocupaciñn no especificada (037)",665,227,62,276,21,79,,
"Desocupado (038)",865,,,,,,,865
,,,,,,,,
"URBANA (039)",50631,16027,8035,20181,1155,1395,1156,2682
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (040)",142,131,,,11,,,
"Profes., científicos e intelectuales (041)",5535,4827,,635,61,12,,
"Técnicos de nivel medio y trab. asimilados (042)",2226,1488,,633,93,11,1,
"Jefes y empleados de oficina (043)",2607,2585,,14,,8,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (044)",7450,2509,77,4128,207,527,2,
"Agricult.trabaj.calif.agrop.y pesqueros (045)",4956,2,492,3989,462,11,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (046)",3941,,1519,2243,112,67,,
"Obreros construc.,conf.,papel, fab., instr. (047)",6964,849,1474,4505,101,35,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (048)",11659,2150,4223,3450,66,617,1153,
"Otra (049)",1049,1049,,,,,,
"Ocupaciñn no especificada (050)",1420,437,250,584,42,107,,
"Desocupado (051)",2682,,,,,,,2682
"Hombres (052)",35391,9361,7123,15270,928,769,57,1883
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (053)",102,93,,,9,,,
"Profes., científicos e intelectuales (054)",2567,2165,,351,47,4,,
"Técnicos de nivel medio y trab. asimilados (055)",1363,911,,391,58,3,,
"Jefes y empleados de oficina (056)",1213,1204,,4,,5,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (057)",3865,1587,31,2008,113,126,,
"Agricult.trabaj.calif.agrop.y pesqueros (058)",4803,2,450,3892,449,10,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (059)",3127,,1088,1890,99,50,,
"Obreros construc.,conf.,papel, fab., instr. (060)",6851,841,1446,4430,101,33,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (061)",7817,1313,3915,1993,30,509,57,
"Otra (062)",1031,1031,,,,,,
"Ocupaciñn no especificada (063)",769,214,193,311,22,29,,
"Desocupado (064)",1883,,,,,,,1883
"Mujeres (065)",15240,6666,912,4911,227,626,1099,799
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (066)",40,38,,,2,,,
"Profes., científicos e intelectuales (067)",2968,2662,,284,14,8,,
"Técnicos de nivel medio y trab. asimilados (068)",863,577,,242,35,8,1,
"Jefes y empleados de oficina (069)",1394,1381,,10,,3,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (070)",3585,922,46,2120,94,401,2,
"Agricult.trabaj.calif.agrop.y pesqueros (071)",153,,42,97,13,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (072)",814,,431,353,13,17,,
"Obreros construc.,conf.,papel, fab., instr. (073)",113,8,28,75,,2,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (074)",3842,837,308,1457,36,108,1096,
"Otra (075)",18,18,,,,,,
"Ocupaciñn no especificada (076)",651,223,57,273,20,78,,
"Desocupado (077)",799,,,,,,,799
,,,,,,,,
"RURAL (078)",4076,508,1172,1488,160,378,74,296
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (079)",13,13,,,,,,
"Profes., científicos e intelectuales (080)",184,172,,12,,,,
"Técnicos de nivel medio y trab. asimilados (081)",52,36,,10,6,,,
"Jefes y empleados de oficina (082)",76,76,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (083)",212,63,2,129,5,13,,
"Agricult.trabaj.calif.agrop.y pesqueros (084)",1175,4,3,1029,139,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (085)",162,,110,50,2,,,
"Obreros construc.,conf.,papel, fab., instr. (086)",277,37,73,158,6,3,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (087)",1592,93,976,87,1,361,74,
"Otra (088)",8,8,,,,,,
"Ocupaciñn no especificada (089)",29,6,8,13,1,1,,
"Desocupado (090)",296,,,,,,,296
"Hombres (091)",3451,277,1091,1338,153,359,3,230
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (092)",12,12,,,,,,
