"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia LA UNION (000)",4671,15442,2278,7362,2393,8080
"Casa independiente (001)",4385,14547,2160,7064,2225,7483
"Vivienda en quinta (003)",43,99,43,99,,
"Vivienda en casa de vecindad (004)",69,177,69,177,,
"Choza o cabaña (005)",159,577,,,159,577
"Vivienda improvisada (006)",2,5,2,5,,
"Local no dest.para hab. humana (007)",11,35,3,16,8,19
"Otro tipo (008)",2,2,1,1,1,1
