"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia RIOJA (000)",25466,24370,85,5212,5023,4046,5022,2945,1471,566,1096,86891
"De 12 a 14 años (001)",79,33,2,27,4,,,,,,46,35
"De 15 a 19 años (002)",1305,1139,16,954,146,19,4,,,,166,1319
"De 20 a 24 años (003)",3471,3096,21,1712,1015,282,61,5,,,375,4873
"De 25 a 29 años (004)",3855,3619,6,1164,1266,754,393,33,3,,236,7854
"De 30 a 34 años (005)",3614,3506,11,579,1055,866,807,160,25,3,108,10030
"De 35 a 39 años (006)",3326,3278,5,304,673,768,1072,381,65,10,48,11727
"De 40 a 44 años (007)",2572,2537,5,148,353,503,793,509,184,42,35,11128
"De 45 a 49 años (008)",1954,1932,4,91,170,310,595,455,233,74,22,9693
"De 50 y más años (009)",5290,5230,15,233,341,544,1297,1402,961,437,60,30232
"Sin nivel (010)",3779,3687,13,243,332,389,862,956,624,268,92,20212
"De 12 a 14 años (011)",3,1,,1,,,,,,,2,1
"De 15 a 19 años (012)",41,38,1,24,11,1,1,,,,3,53
"De 20 a 24 años (013)",123,111,1,40,46,16,8,,,,12,213
"De 25 a 29 años (014)",191,180,1,36,46,48,39,9,1,,11,501
"De 30 a 34 años (015)",232,222,1,21,45,58,64,29,4,,10,784
"De 35 a 39 años (016)",346,334,1,22,38,51,127,72,21,2,12,1466
"De 40 a 44 años (017)",344,334,1,13,26,33,96,108,49,8,10,1776
"De 45 a 49 años (018)",374,365,,14,15,23,77,123,79,34,9,2305
"De 50 y más años (019)",2125,2102,7,72,105,159,450,615,470,224,23,13113
"Educacion Inicial (020)",52,50,,8,9,14,14,3,2,,2,165
"De 15 a 19 años (022)",3,2,,1,1,,,,,,1,3
