"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia MARISCAL NIETO (000)",31645,17497,2675,3581,7892
"Agric., ganadería, caza y silvicultura (001)",6804,6106,449,186,63
"Pesca (002)",27,16,5,5,1
"Explotación de minas y canteras (003)",933,61,48,87,737
"Industrias manufactureras (004)",976,712,115,94,55
"Suministro de electricidad, gas y agua (005)",117,12,9,59,37
"Construcción (006)",3247,1188,529,934,596
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",4551,4099,241,131,80
"Venta, mant.y rep. veh.autom y motoc. (008)",583,356,76,78,73
"Comercio al por mayor (009)",142,104,14,17,7
"Comercio al por menor (010)",3826,3639,151,36,
"Hoteles y restaurantes (011)",1340,1178,95,40,27
"Trans., almac. y comunicaciones (012)",1821,1393,139,148,141
"Intermediación financiera (013)",133,18,18,78,19
"Activid.inmobil., empres. y alquileres (014)",1607,654,231,292,430
"Admin.pub. y defensa; p. segur soc.afil (015)",4295,,,,4295
"Enseñanza (016)",2189,292,403,947,547
"Servicios sociales y de salud (017)",794,133,45,63,553
"Otras activ. serv.comun.soc y personales (018)",645,404,108,80,53
"Hogares privados con servicio doméstico (019)",509,509,,,
"Actividad economica no especificada (021)",1657,722,240,437,258
"Hombres (022)",19464,9592,1718,2425,5729
"Agric., ganadería, caza y silvicultura (023)",4167,3736,260,120,51
"Pesca (024)",23,13,4,5,1
"Explotación de minas y canteras (025)",904,54,48,81,721
"Industrias manufactureras (026)",745,512,95,85,53
"Suministro de electricidad, gas y agua (027)",104,9,8,57,30
"Construcción (028)",2983,1137,492,828,526
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1830,1506,140,107,77
"Venta, mant.y rep. veh.autom y motoc. (030)",531,316,67,76,72
"Comercio al por mayor (031)",66,41,9,11,5
"Comercio al por menor (032)",1233,1149,64,20,
"Hoteles y restaurantes (033)",334,259,42,17,16
"Trans., almac. y comunicaciones (034)",1587,1237,109,119,122
"Intermediación financiera (035)",73,10,12,40,11
"Activid.inmobil., empres. y alquileres (036)",1128,439,155,200,334
"Admin.pub. y defensa; p. segur soc.afil (037)",3159,,,,3159
"Enseñanza (038)",846,79,124,394,249
"Servicios sociales y de salud (039)",258,44,14,15,185
"Otras activ. serv.comun.soc y personales (040)",319,164,64,52,39
