"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia CONCEPCION (000)",18724,54,1251,535,313,1704,4944,1210,1310,6847,75,481
"Agric., ganadería, caza y silvicultura (001)",10124,,20,16,2,,4933,6,23,5124,,
"Pesca (002)",23,,2,2,1,,11,,,7,,
"Explotación de minas y canteras (003)",498,,45,43,17,,,245,29,119,,
"Industrias manufactureras (004)",810,,24,37,8,3,,660,48,30,,
"Suministro de electricidad, gas y agua (005)",16,,,8,3,,,1,2,2,,
"Construcción (006)",726,,31,32,4,,,49,392,218,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2091,1,33,78,8,1293,,230,22,426,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",281,1,7,20,2,47,,182,17,5,,
"Comercio al por mayor (009)",84,,3,13,,59,,,3,6,,
"Comercio al por menor (010)",1726,,23,45,6,1187,,48,2,415,,
"Hoteles y restaurantes (011)",507,1,7,22,2,263,,,,212,,
"Trans., almac. y comunicaciones (012)",936,2,9,27,34,3,,4,723,134,,
"Intermediación financiera (013)",25,,7,4,13,,,,,1,,
"Activid.inmobil., empres. y alquileres (014)",470,1,112,79,69,69,,9,49,82,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",374,36,40,22,106,14,,1,14,66,75,
"Enseñanza (016)",832,13,778,9,18,,,1,1,12,,
"Servicios sociales y de salud (017)",236,,106,85,12,18,,4,,11,,
"Otras activ. serv.comun.soc y personales (018)",310,,37,70,12,41,,,7,143,,
"Hogares privados con servicio doméstico (019)",259,,,,,,,,,259,,
"Actividad economica no especificada (021)",487,,,1,4,,,,,1,,481
"Hombres (022)",12321,46,627,348,141,640,3885,977,1289,4117,70,181
"Agric., ganadería, caza y silvicultura (023)",7210,,18,12,2,,3877,4,23,3274,,
"Pesca (024)",15,,,1,,,8,,,6,,
"Explotación de minas y canteras (025)",474,,38,36,14,,,242,29,115,,
"Industrias manufactureras (026)",539,,18,22,6,,,439,37,17,,
"Suministro de electricidad, gas y agua (027)",13,,,8,1,,,1,2,1,,
"Construcción (028)",704,,25,29,1,,,49,390,210,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",936,1,15,51,3,474,,225,21,146,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",257,1,6,17,1,32,,179,16,5,,
"Comercio al por mayor (031)",44,,1,7,,29,,,3,4,,
"Comercio al por menor (032)",635,,8,27,2,413,,46,2,137,,
"Hoteles y restaurantes (033)",144,1,4,16,1,79,,,,43,,
"Trans., almac. y comunicaciones (034)",865,2,7,12,19,1,,4,716,104,,
"Intermediación financiera (035)",13,,4,2,6,,,,,1,,
"Activid.inmobil., empres. y alquileres (036)",318,1,68,52,20,66,,9,49,53,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",265,28,21,13,48,13,,1,14,57,70,
"Enseñanza (038)",373,13,333,5,11,,,1,1,9,,
"Servicios sociales y de salud (039)",87,,43,33,3,2,,2,,4,,
"Otras activ. serv.comun.soc y personales (040)",160,,33,56,5,5,,,7,54,,
"Hogares privados con servicio doméstico (041)",22,,,,,,,,,22,,
"Actividad economica no especificada (043)",183,,,,1,,,,,1,,181
"Mujeres (044)",6403,8,624,187,172,1064,1059,233,21,2730,5,300
"Agric., ganadería, caza y silvicultura (045)",2914,,2,4,,,1056,2,,1850,,
"Pesca (046)",8,,2,1,1,,3,,,1,,
"Explotación de minas y canteras (047)",24,,7,7,3,,,3,,4,,
"Industrias manufactureras (048)",271,,6,15,2,3,,221,11,13,,
"Suministro de electricidad, gas y agua (049)",3,,,,2,,,,,1,,
"Construcción (050)",22,,6,3,3,,,,2,8,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",1155,,18,27,5,819,,5,1,280,,
"Venta, mant.y rep. veh.autom.y motoc. (052)",24,,1,3,1,15,,3,1,,,
"Comercio al por mayor (053)",40,,2,6,,30,,,,2,,
"Comercio al por menor (054)",1091,,15,18,4,774,,2,,278,,
"Hoteles y restaurantes (055)",363,,3,6,1,184,,,,169,,
"Trans., almac. y comunicaciones (056)",71,,2,15,15,2,,,7,30,,
"Intermediación financiera (057)",12,,3,2,7,,,,,,,
"Activid.inmobil., empres. y alquileres (058)",152,,44,27,49,3,,,,29,,
"Admin.pub. y defensa; p. segur.soc.afil (059)",109,8,19,9,58,1,,,,9,5,
"Enseñanza (060)",459,,445,4,7,,,,,3,,
"Servicios sociales y de salud (061)",149,,63,52,9,16,,2,,7,,
"Otras activ. serv.comun.soc y personales (062)",150,,4,14,7,36,,,,89,,
"Hogares privados con servicio doméstico (063)",237,,,,,,,,,237,,
"Actividad economica no especificada (065)",304,,,1,3,,,,,,,300
,,,,,,,,,,,,
"URBANA (066)",10956,46,1016,434,264,1501,2056,833,957,3482,70,297
"Agric., ganadería, caza y silvicultura (067)",4277,,18,11,2,,2047,3,18,2178,,
"Pesca (068)",16,,,2,1,,9,,,4,,
"Explotación de minas y canteras (069)",91,,6,5,4,,,53,6,17,,
"Industrias manufactureras (070)",648,,20,30,8,3,,531,33,23,,
"Suministro de electricidad, gas y agua (071)",16,,,8,3,,,1,2,2,,
"Construcción (072)",536,,23,25,4,,,41,303,140,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",1841,1,29,68,8,1162,,191,19,363,,
"Venta, mant.y rep. veh.autom.y motoc. (074)",236,1,5,14,2,45,,149,15,5,,
"Comercio al por mayor (075)",77,,2,12,,55,,,2,6,,
"Comercio al por menor (076)",1528,,22,42,6,1062,,42,2,352,,
"Hoteles y restaurantes (077)",446,1,4,20,1,224,,,,196,,
"Trans., almac. y comunicaciones (078)",726,2,9,24,28,3,,3,545,112,,
"Intermediación financiera (079)",22,,6,4,11,,,,,1,,
"Activid.inmobil., empres. y alquileres (080)",337,1,90,66,64,43,,5,13,55,,
"Admin.pub. y defensa; p. segur.soc.afil (081)",310,31,34,21,90,9,,,11,44,70,
"Enseñanza (082)",694,10,652,8,15,,,1,,8,,
"Servicios sociales y de salud (083)",205,,88,76,10,17,,4,,10,,
"Otras activ. serv.comun.soc y personales (084)",286,,37,65,12,40,,,7,125,,
"Hogares privados con servicio doméstico (085)",203,,,,,,,,,203,,
"Actividad economica no especificada (087)",302,,,1,3,,,,,1,,297
"Hombres (088)",6359,39,495,275,108,551,1389,651,937,1733,65,116
"Agric., ganadería, caza y silvicultura (089)",2609,,16,7,2,,1383,2,18,1181,,
"Pesca (090)",10,,,1,,,6,,,3,,
"Explotación de minas y canteras (091)",90,,6,5,3,,,53,6,17,,
"Industrias manufactureras (092)",430,,14,19,6,,,357,23,11,,
"Suministro de electricidad, gas y agua (093)",13,,,8,1,,,1,2,1,,
"Construcción (094)",517,,19,23,1,,,41,301,132,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",816,1,14,43,3,427,,186,18,124,,
"Venta, mant.y rep. veh.autom.y motoc. (096)",214,1,5,11,1,31,,146,14,5,,
"Comercio al por mayor (097)",43,,1,7,,29,,,2,4,,
"Comercio al por menor (098)",559,,8,25,2,367,,40,2,115,,
"Hoteles y restaurantes (099)",121,1,2,14,1,68,,,,35,,
"Trans., almac. y comunicaciones (100)",660,2,7,10,14,1,,3,538,85,,
"Intermediación financiera (101)",11,,3,2,5,,,,,1,,
"Activid.inmobil., empres. y alquileres (102)",210,1,52,45,18,41,,5,13,35,,
"Admin.pub. y defensa; p. segur.soc.afil (103)",209,24,16,12,37,8,,,11,36,65,
"Enseñanza (104)",309,10,278,5,8,,,1,,7,,
"Servicios sociales y de salud (105)",74,,35,29,3,1,,2,,4,,
"Otras activ. serv.comun.soc y personales (106)",145,,33,52,5,5,,,7,43,,
"Hogares privados con servicio doméstico (107)",17,,,,,,,,,17,,
"Actividad economica no especificada (109)",118,,,,1,,,,,1,,116
"Mujeres (110)",4597,7,521,159,156,950,667,182,20,1749,5,181
"Agric., ganadería, caza y silvicultura (111)",1668,,2,4,,,664,1,,997,,
"Pesca (112)",6,,,1,1,,3,,,1,,
"Explotación de minas y canteras (113)",1,,,,1,,,,,,,
"Industrias manufactureras (114)",218,,6,11,2,3,,174,10,12,,
"Suministro de electricidad, gas y agua (115)",3,,,,2,,,,,1,,
"Construcción (116)",19,,4,2,3,,,,2,8,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",1025,,15,25,5,735,,5,1,239,,
"Venta, mant.y rep. veh.autom.y motoc. (118)",22,,,3,1,14,,3,1,,,
"Comercio al por mayor (119)",34,,1,5,,26,,,,2,,
"Comercio al por menor (120)",969,,14,17,4,695,,2,,237,,
"Hoteles y restaurantes (121)",325,,2,6,,156,,,,161,,
"Trans., almac. y comunicaciones (122)",66,,2,14,14,2,,,7,27,,
"Intermediación financiera (123)",11,,3,2,6,,,,,,,
"Activid.inmobil., empres. y alquileres (124)",127,,38,21,46,2,,,,20,,
"Admin.pub. y defensa; p. segur.soc.afil (125)",101,7,18,9,53,1,,,,8,5,
"Enseñanza (126)",385,,374,3,7,,,,,1,,
"Servicios sociales y de salud (127)",131,,53,47,7,16,,2,,6,,
"Otras activ. serv.comun.soc y personales (128)",141,,4,13,7,35,,,,82,,
"Hogares privados con servicio doméstico (129)",186,,,,,,,,,186,,
"Actividad economica no especificada (131)",184,,,1,2,,,,,,,181
,,,,,,,,,,,,
"RURAL (132)",7768,8,235,101,49,203,2888,377,353,3365,5,184
"Agric., ganadería, caza y silvicultura (133)",5847,,2,5,,,2886,3,5,2946,,
"Pesca (134)",7,,2,,,,2,,,3,,
"Explotación de minas y canteras (135)",407,,39,38,13,,,192,23,102,,
"Industrias manufactureras (136)",162,,4,7,,,,129,15,7,,
"Construcción (138)",190,,8,7,,,,8,89,78,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (139)",250,,4,10,,131,,39,3,63,,
"Venta, mant.y rep. veh.autom.y motoc. (140)",45,,2,6,,2,,33,2,,,
"Comercio al por mayor (141)",7,,1,1,,4,,,1,,,
"Comercio al por menor (142)",198,,1,3,,125,,6,,63,,
"Hoteles y restaurantes (143)",61,,3,2,1,39,,,,16,,
"Trans., almac. y comunicaciones (144)",210,,,3,6,,,1,178,22,,
"Intermediación financiera (145)",3,,1,,2,,,,,,,
"Activid.inmobil., empres. y alquileres (146)",133,,22,13,5,26,,4,36,27,,
"Admin.pub. y defensa; p. segur.soc.afil (147)",64,5,6,1,16,5,,1,3,22,5,
"Enseñanza (148)",138,3,126,1,3,,,,1,4,,
"Servicios sociales y de salud (149)",31,,18,9,2,1,,,,1,,
"Otras activ. serv.comun.soc y personales (150)",24,,,5,,1,,,,18,,
"Hogares privados con servicio doméstico (151)",56,,,,,,,,,56,,
"Actividad economica no especificada (153)",185,,,,1,,,,,,,184
"Hombres (154)",5962,7,132,73,33,89,2496,326,352,2384,5,65
"Agric., ganadería, caza y silvicultura (155)",4601,,2,5,,,2494,2,5,2093,,
"Pesca (156)",5,,,,,,2,,,3,,
"Explotación de minas y canteras (157)",384,,32,31,11,,,189,23,98,,
"Industrias manufactureras (158)",109,,4,3,,,,82,14,6,,
"Construcción (160)",187,,6,6,,,,8,89,78,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (161)",120,,1,8,,47,,39,3,22,,
"Venta, mant.y rep. veh.autom.y motoc. (162)",43,,1,6,,1,,33,2,,,
"Comercio al por mayor (163)",1,,,,,,,,1,,,
"Comercio al por menor (164)",76,,,2,,46,,6,,22,,
"Hoteles y restaurantes (165)",23,,2,2,,11,,,,8,,
"Trans., almac. y comunicaciones (166)",205,,,2,5,,,1,178,19,,
"Intermediación financiera (167)",2,,1,,1,,,,,,,
"Activid.inmobil., empres. y alquileres (168)",108,,16,7,2,25,,4,36,18,,
"Admin.pub. y defensa; p. segur.soc.afil (169)",56,4,5,1,11,5,,1,3,21,5,
"Enseñanza (170)",64,3,55,,3,,,,1,2,,
"Servicios sociales y de salud (171)",13,,8,4,,1,,,,,,
"Otras activ. serv.comun.soc y personales (172)",15,,,4,,,,,,11,,
"Hogares privados con servicio doméstico (173)",5,,,,,,,,,5,,
"Actividad economica no especificada (175)",65,,,,,,,,,,,65
"Mujeres (176)",1806,1,103,28,16,114,392,51,1,981,,119
"Agric., ganadería, caza y silvicultura (177)",1246,,,,,,392,1,,853,,
"Pesca (178)",2,,2,,,,,,,,,
"Explotación de minas y canteras (179)",23,,7,7,2,,,3,,4,,
"Industrias manufactureras (180)",53,,,4,,,,47,1,1,,
"Construcción (182)",3,,2,1,,,,,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (183)",130,,3,2,,84,,,,41,,
"Venta, mant.y rep. veh.autom.y motoc. (184)",2,,1,,,1,,,,,,
"Comercio al por mayor (185)",6,,1,1,,4,,,,,,
"Comercio al por menor (186)",122,,1,1,,79,,,,41,,
"Hoteles y restaurantes (187)",38,,1,,1,28,,,,8,,
"Trans., almac. y comunicaciones (188)",5,,,1,1,,,,,3,,
"Intermediación financiera (189)",1,,,,1,,,,,,,
"Activid.inmobil., empres. y alquileres (190)",25,,6,6,3,1,,,,9,,
"Admin.pub. y defensa; p. segur.soc.afil (191)",8,1,1,,5,,,,,1,,
"Enseñanza (192)",74,,71,1,,,,,,2,,
"Servicios sociales y de salud (193)",18,,10,5,2,,,,,1,,
"Otras activ. serv.comun.soc y personales (194)",9,,,1,,1,,,,7,,
"Hogares privados con servicio doméstico (195)",51,,,,,,,,,51,,
"Actividad economica no especificada (197)",120,,,,1,,,,,,,119
