"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia VIRU (000)",27010,25679,7813,4521,3756,2657,3278,1909,1087,658,1331,63277
"De 12 a 14 años (001)",2591,2571,2547,21,3,,,,,,20,27
"De 15 a 19 años (002)",4085,3949,3146,689,92,17,5,,,,136,944
"De 20 a 24 años (003)",4394,3903,1266,1704,725,174,27,7,,,491,3837
"De 25 a 29 años (004)",3523,3240,384,1030,1078,501,234,13,,,283,5753
"De 30 a 34 años (005)",2689,2546,138,456,764,603,501,70,10,4,143,6534
"De 35 a 39 años (006)",2288,2206,93,218,449,554,636,205,44,7,82,7286
"De 40 a 44 años (007)",1835,1786,79,136,253,324,564,299,105,26,49,7172
"De 45 a 49 años (008)",1398,1365,35,99,141,169,418,301,147,55,33,6529
"De 50 y más años (009)",4207,4113,125,168,251,315,893,1014,781,566,94,25195
"Conviviente (010)",10710,10349,890,2776,2283,1481,1583,767,373,196,361,29026
"De 12 a 14 años (011)",43,25,15,9,1,,,,,,18,11
"De 15 a 19 años (012)",1004,886,288,514,74,8,2,,,,118,694
"De 20 a 24 años (013)",2357,2237,320,1201,554,143,15,4,,,120,2828
"De 25 a 29 años (014)",2083,2043,127,618,753,361,174,10,,,40,3999
"De 30 a 34 años (015)",1513,1483,41,221,450,382,334,44,7,4,30,4100
"De 35 a 39 años (016)",1206,1188,31,92,252,296,365,118,32,2,18,4118
"De 40 a 44 años (017)",828,824,22,43,97,145,291,163,54,9,4,3567
"De 45 a 49 años (018)",577,574,16,33,45,65,179,143,67,26,3,2887
"De 50 y más años (019)",1099,1089,30,45,57,81,223,285,213,155,10,6822
"Separado(a) (020)",1605,1574,25,549,346,179,243,150,44,38,31,4609
"De 12 a 14 años (021)",2,1,,1,,,,,,,1,1
"De 15 a 19 años (022)",98,92,6,82,2,1,1,,,,6,93
