"CUADRO Nº 16: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia LAMBAYEQUE (000)",82664,12543,31648,25364,1748,4483,1703,5175
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",137,124,,,13,,,
"Profes., científicos e intelectuales (002)",4675,3917,,714,37,7,,
"Técnicos de nivel medio y trab. asimilados (003)",2651,1674,,819,135,21,2,
"Jefes y empleados de oficina (004)",2019,1987,,6,,26,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",7870,1746,68,5111,192,753,,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",10101,34,25,8999,1042,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",6209,,3188,2769,128,124,,
"Obreros construc.,conf.,papel, fab., instr. (008)",7106,753,2248,3957,95,53,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (009)",34204,1338,25458,2396,42,3269,1701,
"Otra (010)",526,526,,,,,,
"Ocupación no especificada (011)",1991,444,661,593,64,229,,
"Desocupado (012)",5175,,,,,,,5175
"Hombres (013)",62988,6985,28496,18974,1463,3018,61,3991
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",97,89,,,8,,,
"Profes., científicos e intelectuales (015)",2209,1763,,410,32,4,,
"Técnicos de nivel medio y trab. asimilados (016)",1672,970,,607,87,8,,
"Jefes y empleados de oficina (017)",930,919,,1,,10,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",3334,929,23,2090,102,190,,
"Agricult.trabaj.calif.agrop.y pesqueros (019)",9537,32,25,8483,996,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (020)",4749,,2520,2038,102,89,,
"Obreros construc.,conf.,papel, fab., instr. (021)",6974,744,2211,3877,92,50,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (022)",27929,822,23240,1185,18,2603,61,
"Otra (023)",508,508,,,,,,
"Ocupación no especificada (024)",1058,209,477,283,26,63,,
"Desocupado (025)",3991,,,,,,,3991
"Mujeres (026)",19676,5558,3152,6390,285,1465,1642,1184
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",40,35,,,5,,,
"Profes., científicos e intelectuales (028)",2466,2154,,304,5,3,,
"Técnicos de nivel medio y trab. asimilados (029)",979,704,,212,48,13,2,
"Jefes y empleados de oficina (030)",1089,1068,,5,,16,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",4536,817,45,3021,90,563,,
"Agricult.trabaj.calif.agrop.y pesqueros (032)",564,2,,516,46,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (033)",1460,,668,731,26,35,,
"Obreros construc.,conf.,papel, fab., instr. (034)",132,9,37,80,3,3,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (035)",6275,516,2218,1211,24,666,1640,
"Otra (036)",18,18,,,,,,
"Ocupación no especificada (037)",933,235,184,310,38,166,,
"Desocupado (038)",1184,,,,,,,1184
,,,,,,,,
"URBANA (039)",42779,11067,10030,15349,895,1600,1161,2677
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (040)",118,106,,,12,,,
"Profes., científicos e intelectuales (041)",4284,3593,,648,37,6,,
"Técnicos de nivel medio y trab. asimilados (042)",2338,1472,,726,121,18,1,
"Jefes y empleados de oficina (043)",1865,1834,,6,,25,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (044)",6636,1486,50,4251,168,681,,
"Agricult.trabaj.calif.agrop.y pesqueros (045)",3074,15,14,2696,348,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (046)",3838,,1796,1876,91,75,,
"Obreros construc.,conf.,papel, fab., instr. (047)",5061,570,1573,2815,69,34,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (048)",10946,1128,6108,1849,31,670,1160,
"Otra (049)",500,500,,,,,,
"Ocupación no especificada (050)",1442,363,489,482,18,90,,
"Desocupado (051)",2677,,,,,,,2677
"Hombres (052)",28690,6020,8783,10377,695,822,46,1947
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (053)",85,78,,,7,,,
"Profes., científicos e intelectuales (054)",2012,1599,,378,32,3,,
"Técnicos de nivel medio y trab. asimilados (055)",1475,844,,542,81,8,,
"Jefes y empleados de oficina (056)",850,840,,1,,9,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (057)",2737,759,15,1709,86,168,,
"Agricult.trabaj.calif.agrop.y pesqueros (058)",2887,13,14,2532,327,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (059)",2916,,1406,1385,74,51,,
"Obreros construc.,conf.,papel, fab., instr. (060)",4950,563,1546,2743,67,31,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (061)",7495,656,5429,842,11,511,46,
"Otra (062)",482,482,,,,,,
"Ocupación no especificada (063)",854,186,373,245,10,40,,
"Desocupado (064)",1947,,,,,,,1947
"Mujeres (065)",14089,5047,1247,4972,200,778,1115,730
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (066)",33,28,,,5,,,
"Profes., científicos e intelectuales (067)",2272,1994,,270,5,3,,
"Técnicos de nivel medio y trab. asimilados (068)",863,628,,184,40,10,1,
"Jefes y empleados de oficina (069)",1015,994,,5,,16,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (070)",3899,727,35,2542,82,513,,
"Agricult.trabaj.calif.agrop.y pesqueros (071)",187,2,,164,21,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (072)",922,,390,491,17,24,,
"Obreros construc.,conf.,papel, fab., instr. (073)",111,7,27,72,2,3,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (074)",3451,472,679,1007,20,159,1114,
"Otra (075)",18,18,,,,,,
"Ocupación no especificada (076)",588,177,116,237,8,50,,
"Desocupado (077)",730,,,,,,,730
,,,,,,,,
"RURAL (078)",39885,1476,21618,10015,853,2883,542,2498
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (079)",19,18,,,1,,,
"Profes., científicos e intelectuales (080)",391,324,,66,,1,,
"Técnicos de nivel medio y trab. asimilados (081)",313,202,,93,14,3,1,
"Jefes y empleados de oficina (082)",154,153,,,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (083)",1234,260,18,860,24,72,,
"Agricult.trabaj.calif.agrop.y pesqueros (084)",7027,19,11,6303,694,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (085)",2371,,1392,893,37,49,,
"Obreros construc.,conf.,papel, fab., instr. (086)",2045,183,675,1142,26,19,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (087)",23258,210,19350,547,11,2599,541,
"Otra (088)",26,26,,,,,,
"Ocupación no especificada (089)",549,81,172,111,46,139,,
"Desocupado (090)",2498,,,,,,,2498
"Hombres (091)",34298,965,19713,8597,768,2196,15,2044
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (092)",12,11,,,1,,,
"Profes., científicos e intelectuales (093)",197,164,,32,,1,,
