"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia LA MAR (000)",1244,36,625,374,168,41
"Conviviente (001)",355,2,203,128,20,2
"Separado(a) (002)",44,,17,19,7,1
"Casado(a) (003)",353,,47,166,114,26
"Viudo(a) (004)",39,,2,10,15,12
"Divorciado(a) (005)",2,,1,,1,
"Soltero(a) (006)",451,34,355,51,11,
"Hombres (008)",893,19,434,278,130,32
"Conviviente (009)",259,,138,104,17,
"Separado(a) (010)",18,,3,11,4,
"Casado(a) (011)",268,,31,120,93,24
"Viudo(a) (012)",21,,1,5,7,8
"Divorciado(a) (013)",2,,1,,1,
"Soltero(a) (014)",325,19,260,38,8,
"Mujeres (016)",351,17,191,96,38,9
"Conviviente (017)",96,2,65,24,3,2
"Separado(a) (018)",26,,14,8,3,1
"Casado(a) (019)",85,,16,46,21,2
"Viudo(a) (020)",18,,1,5,8,4
"Soltero(a) (022)",126,15,95,13,3,
,,,,,,
"AREA URBANA (024)",744,26,362,235,102,19
"Conviviente (025)",228,2,131,80,13,2
"Separado(a) (026)",28,,10,12,5,1
"Casado(a) (027)",212,,31,103,69,9
"Viudo(a) (028)",26,,1,7,11,7
"Soltero(a) (030)",250,24,189,33,4,
"Hombres (032)",498,12,239,161,74,12
"Conviviente (033)",153,,80,61,12,
"Separado(a) (034)",11,,2,6,3,
"Casado(a) (035)",146,,18,68,53,7
"Viudo(a) (036)",12,,,3,4,5
"Soltero(a) (038)",176,12,139,23,2,
"Mujeres (040)",246,14,123,74,28,7
"Conviviente (041)",75,2,51,19,1,2
"Separado(a) (042)",17,,8,6,2,1
"Casado(a) (043)",66,,13,35,16,2
"Viudo(a) (044)",14,,1,4,7,2
"Soltero(a) (046)",74,12,50,10,2,
,,,,,,
"AREA RURAL (048)",500,10,263,139,66,22
"Conviviente (049)",127,,72,48,7,
"Separado(a) (050)",16,,7,7,2,
"Casado(a) (051)",141,,16,63,45,17
"Viudo(a) (052)",13,,1,3,4,5
"Divorciado(a) (053)",2,,1,,1,
"Soltero(a) (054)",201,10,166,18,7,
"Hombres (056)",395,7,195,117,56,20
"Conviviente (057)",106,,58,43,5,
"Separado(a) (058)",7,,1,5,1,
"Casado(a) (059)",122,,13,52,40,17
"Viudo(a) (060)",9,,1,2,3,3
"Divorciado(a) (061)",2,,1,,1,
"Soltero(a) (062)",149,7,121,15,6,
"Mujeres (064)",105,3,68,22,10,2
"Conviviente (065)",21,,14,5,2,
"Separado(a) (066)",9,,6,2,1,
"Casado(a) (067)",19,,3,11,5,
"Viudo(a) (068)",4,,,1,1,2
"Soltero(a) (070)",52,3,45,3,1,
