"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia REQUENA (000)",53317,15634,16901,10775,7335,2672
"Sin nivel (001)",1695,394,199,207,398,497
"Educación inicial (002)",688,667,14,7,,
"Primaria (003)",29506,12468,5324,5080,4692,1942
"Secundaria (004)",17794,2105,9945,3989,1569,186
"Superior no univ. incompleta (005)",1018,,581,288,139,10
"Superior no univ. completa (006)",1483,,474,687,297,25
"Superior univ. incompleta (007)",427,,185,161,78,3
"Superior univ. completa (008)",706,,179,356,162,9
"PEA (010)",22044,741,7459,7352,5049,1443
"Sin nivel (011)",602,39,86,101,201,175
"Educación inicial (012)",23,12,6,5,,
"Primaria (013)",10411,543,2496,3138,3099,1135
"Secundaria (014)",8343,147,4095,2804,1189,108
"Superior no univ. incompleta (015)",570,,207,238,119,6
"Superior no univ. completa (016)",1200,,336,615,239,10
"Superior univ. incompleta (017)",289,,84,136,66,3
"Superior univ. completa (018)",606,,149,315,136,6
"Ocupada (020)",21213,686,7004,7141,4961,1421
"Sin nivel (021)",587,36,83,97,199,172
"Educación inicial (022)",22,11,6,5,,
"Primaria (023)",10096,502,2374,3055,3044,1121
"Secundaria (024)",7925,137,3814,2705,1165,104
"Superior no univ. incompleta (025)",550,,196,234,115,5
"Superior no univ. completa (026)",1164,,314,602,238,10
"Superior univ. incompleta (027)",282,,80,133,66,3
"Superior univ. completa (028)",587,,137,310,134,6
"Desocupada (030)",831,55,455,211,88,22
"Sin nivel (031)",15,3,3,4,2,3
