"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ISLAY (000)",21271,13331,3216,2769,1955
"Agric., ganadería, caza y silvicultura (001)",6483,3591,1635,1145,112
"Pesca (002)",1034,689,135,171,39
"Explotación de minas y canteras (003)",216,33,17,21,145
"Industrias manufactureras (004)",1155,720,135,127,173
"Suministro de electricidad, gas y agua (005)",58,21,5,30,2
"Construcción (006)",1047,730,181,109,27
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",3340,2985,196,110,49
"Venta, mant.y rep. veh.autom y motoc. (008)",530,380,69,37,44
"Comercio al por mayor (009)",168,119,22,22,5
"Comercio al por menor (010)",2642,2486,105,51,
"Hoteles y restaurantes (011)",1033,896,107,26,4
"Trans., almac. y comunicaciones (012)",2014,1211,217,287,299
"Intermediación financiera (013)",69,19,13,21,16
"Activid.inmobil., empres. y alquileres (014)",873,473,138,151,111
"Admin.pub. y defensa; p. segur soc.afil (015)",725,,,,725
"Enseñanza (016)",913,167,237,466,43
"Servicios sociales y de salud (017)",292,93,18,16,165
"Otras activ. serv.comun.soc y personales (018)",942,742,123,54,23
"Hogares privados con servicio doméstico (019)",378,378,,,
"Actividad economica no especificada (021)",699,583,59,35,22
"Hombres (022)",13627,8403,1993,1737,1494
"Agric., ganadería, caza y silvicultura (023)",4279,2704,905,577,93
"Pesca (024)",1001,673,127,165,36
"Explotación de minas y canteras (025)",212,32,16,21,143
"Industrias manufactureras (026)",906,520,115,118,153
"Suministro de electricidad, gas y agua (027)",54,20,5,27,2
"Construcción (028)",1009,713,171,101,24
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1450,1199,127,82,42
"Venta, mant.y rep. veh.autom y motoc. (030)",488,353,64,31,40
"Comercio al por mayor (031)",93,57,16,18,2
"Comercio al por menor (032)",869,789,47,33,
"Hoteles y restaurantes (033)",284,213,52,16,3
"Trans., almac. y comunicaciones (034)",1786,1061,189,272,264
"Intermediación financiera (035)",31,8,6,9,8
"Activid.inmobil., empres. y alquileres (036)",650,345,105,110,90
"Admin.pub. y defensa; p. segur soc.afil (037)",535,,,,535
"Enseñanza (038)",304,50,60,176,18
"Servicios sociales y de salud (039)",99,35,5,5,54
"Otras activ. serv.comun.soc y personales (040)",515,381,84,35,15
"Hogares privados con servicio doméstico (041)",38,38,,,
