"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia JAEN (000)",1995,73,1024,533,298,67
"Conviviente (001)",711,1,239,321,125,25
"Separado(a) (002)",76,,24,34,17,1
"Casado(a) (003)",220,,20,61,113,26
"Viudo(a) (004)",30,,1,9,12,8
"Divorciado(a) (005)",9,,2,2,3,2
"Soltero(a) (006)",949,72,738,106,28,5
"Hombres (008)",1460,43,689,400,265,63
"Conviviente (009)",562,,151,266,121,24
"Separado(a) (010)",28,,8,10,9,1
"Casado(a) (011)",179,,11,42,102,24
"Viudo(a) (012)",16,,,4,5,7
"Divorciado(a) (013)",8,,1,2,3,2
"Soltero(a) (014)",667,43,518,76,25,5
"Mujeres (016)",535,30,335,133,33,4
"Conviviente (017)",149,1,88,55,4,1
"Separado(a) (018)",48,,16,24,8,
"Casado(a) (019)",41,,9,19,11,2
"Viudo(a) (020)",14,,1,5,7,1
"Divorciado(a) (021)",1,,1,,,
"Soltero(a) (022)",282,29,220,30,3,
,,,,,,
"AREA URBANA (024)",1339,24,687,394,196,38
"Conviviente (025)",493,1,165,230,79,18
"Separado(a) (026)",56,,16,29,10,1
"Casado(a) (027)",153,,14,47,79,13
"Viudo(a) (028)",20,,1,8,9,2
"Divorciado(a) (029)",5,,2,2,1,
"Soltero(a) (030)",612,23,489,78,18,4
"Hombres (032)",936,14,439,280,168,35
"Conviviente (033)",367,,92,183,75,17
"Separado(a) (034)",19,,5,8,5,1
"Casado(a) (035)",115,,6,29,69,11
"Viudo(a) (036)",9,,,4,3,2
"Divorciado(a) (037)",4,,1,2,1,
"Soltero(a) (038)",422,14,335,54,15,4
"Mujeres (040)",403,10,248,114,28,3
"Conviviente (041)",126,1,73,47,4,1
"Separado(a) (042)",37,,11,21,5,
"Casado(a) (043)",38,,8,18,10,2
"Viudo(a) (044)",11,,1,4,6,
"Divorciado(a) (045)",1,,1,,,
"Soltero(a) (046)",190,9,154,24,3,
,,,,,,
"AREA RURAL (048)",656,49,337,139,102,29
"Conviviente (049)",218,,74,91,46,7
"Separado(a) (050)",20,,8,5,7,
"Casado(a) (051)",67,,6,14,34,13
"Viudo(a) (052)",10,,,1,3,6
"Divorciado(a) (053)",4,,,,2,2
"Soltero(a) (054)",337,49,249,28,10,1
"Hombres (056)",524,29,250,120,97,28
"Conviviente (057)",195,,59,83,46,7
"Separado(a) (058)",9,,3,2,4,
"Casado(a) (059)",64,,5,13,33,13
"Viudo(a) (060)",7,,,,2,5
"Divorciado(a) (061)",4,,,,2,2
"Soltero(a) (062)",245,29,183,22,10,1
"Mujeres (064)",132,20,87,19,5,1
"Conviviente (065)",23,,15,8,,
"Separado(a) (066)",11,,5,3,3,
"Casado(a) (067)",3,,1,1,1,
"Viudo(a) (068)",3,,,1,1,1
"Soltero(a) (070)",92,20,66,6,,
