"CUADRO Nº 29: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia TAYACAJA (000)",30312,2255,7303,14108,533,5879,234
"Sin nivel (001)",4384,20,1215,2013,52,1043,41
"Educación inicial (002)",40,,10,18,,12,
"Primaria (003)",13249,121,3588,6449,251,2743,97
"Secundaria (004)",9951,478,2288,4944,186,1966,89
"Superior no univ. incompleta (005)",521,167,69,224,7,51,3
"Superior no univ. completa (006)",752,441,62,205,7,33,4
"Superior univ. incompleta (007)",309,141,32,105,12,19,
"Superior univ. completa (008)",1106,887,39,150,18,12,
"Hombres (010)",21377,1344,5646,11021,440,2905,21
"Sin nivel (011)",2216,3,722,1190,28,269,4
"Educación inicial (012)",21,,4,10,,7,
"Primaria (013)",9358,55,2751,5160,209,1176,7
"Secundaria (014)",8067,345,1994,4169,168,1383,8
"Superior no univ. incompleta (015)",361,102,59,162,4,33,1
"Superior no univ. completa (016)",470,250,55,142,6,16,1
"Superior univ. incompleta (017)",234,100,28,79,12,15,
"Superior univ. completa (018)",650,489,33,109,13,6,
"Mujeres (020)",8935,911,1657,3087,93,2974,213
"Sin nivel (021)",2168,17,493,823,24,774,37
"Educación inicial (022)",19,,6,8,,5,
"Primaria (023)",3891,66,837,1289,42,1567,90
"Secundaria (024)",1884,133,294,775,18,583,81
"Superior no univ. incompleta (025)",160,65,10,62,3,18,2
"Superior no univ. completa (026)",282,191,7,63,1,17,3
"Superior univ. incompleta (027)",75,41,4,26,,4,
"Superior univ. completa (028)",456,398,6,41,5,6,
,,,,,,,
"URBANA (030)",8388,1580,1660,3784,175,1040,149
"Sin nivel (031)",746,13,192,356,16,144,25
"Educación inicial (032)",12,,4,6,,2,
"Primaria (033)",2667,74,685,1375,65,404,64
"Secundaria (034)",3145,322,668,1596,67,437,55
"Superior no univ. incompleta (035)",302,117,33,123,4,23,2
"Superior no univ. completa (036)",516,313,29,147,5,19,3
"Superior univ. incompleta (037)",226,118,19,73,9,7,
"Superior univ. completa (038)",774,623,30,108,9,4,
"Hombres (040)",5186,954,1130,2557,127,403,15
"Sin nivel (041)",236,3,76,138,3,14,2
"Educación inicial (042)",6,,3,2,,1,
"Primaria (043)",1545,37,414,919,47,123,5
"Secundaria (044)",2286,232,551,1198,56,243,6
"Superior no univ. incompleta (045)",186,70,23,78,3,11,1
"Superior no univ. completa (046)",304,177,23,93,4,6,1
"Superior univ. incompleta (047)",169,89,15,51,9,5,
"Superior univ. completa (048)",454,346,25,78,5,,
"Mujeres (050)",3202,626,530,1227,48,637,134
"Sin nivel (051)",510,10,116,218,13,130,23
"Educación inicial (052)",6,,1,4,,1,
"Primaria (053)",1122,37,271,456,18,281,59
"Secundaria (054)",859,90,117,398,11,194,49
"Superior no univ. incompleta (055)",116,47,10,45,1,12,1
"Superior no univ. completa (056)",212,136,6,54,1,13,2
"Superior univ. incompleta (057)",57,29,4,22,,2,
"Superior univ. completa (058)",320,277,5,30,4,4,
,,,,,,,
"RURAL (060)",21924,675,5643,10324,358,4839,85
"Sin nivel (061)",3638,7,1023,1657,36,899,16
"Educación inicial (062)",28,,6,12,,10,
"Primaria (063)",10582,47,2903,5074,186,2339,33
"Secundaria (064)",6806,156,1620,3348,119,1529,34
"Superior no univ. incompleta (065)",219,50,36,101,3,28,1
"Superior no univ. completa (066)",236,128,33,58,2,14,1
"Superior univ. incompleta (067)",83,23,13,32,3,12,
"Superior univ. completa (068)",332,264,9,42,9,8,
"Hombres (070)",16191,390,4516,8464,313,2502,6
"Sin nivel (071)",1980,,646,1052,25,255,2
"Educación inicial (072)",15,,1,8,,6,
"Primaria (073)",7813,18,2337,4241,162,1053,2
"Secundaria (074)",5781,113,1443,2971,112,1140,2
"Superior no univ. incompleta (075)",175,32,36,84,1,22,
"Superior no univ. completa (076)",166,73,32,49,2,10,
"Superior univ. incompleta (077)",65,11,13,28,3,10,
"Superior univ. completa (078)",196,143,8,31,8,6,
"Mujeres (080)",5733,285,1127,1860,45,2337,79
"Sin nivel (081)",1658,7,377,605,11,644,14
"Educación inicial (082)",13,,5,4,,4,
"Primaria (083)",2769,29,566,833,24,1286,31
"Secundaria (084)",1025,43,177,377,7,389,32
"Superior no univ. incompleta (085)",44,18,,17,2,6,1
"Superior no univ. completa (086)",70,55,1,9,,4,1
"Superior univ. incompleta (087)",18,12,,4,,2,
"Superior univ. completa (088)",136,121,1,11,1,2,
