"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia BELLAVISTA (000)",325,22,149,99,45,10
"Sin nivel (001)",16,4,2,4,4,2
"Primaria (003)",149,16,54,48,23,8
"Secundaria (004)",118,2,69,32,15,
"Superior no univ. incompleta (005)",13,,8,3,2,
"Superior no univ. completa (006)",16,,9,7,,
"Superior univ. incompleta (007)",3,,1,1,1,
"Superior univ. completa (008)",10,,6,4,,
"Hombres (010)",250,19,98,85,39,9
"Sin nivel (011)",10,2,2,3,1,2
"Primaria (013)",120,15,35,42,21,7
"Secundaria (014)",100,2,55,29,14,
"Superior no univ. incompleta (015)",6,,2,2,2,
"Superior no univ. completa (016)",7,,2,5,,
"Superior univ. incompleta (017)",3,,1,1,1,
"Superior univ. completa (018)",4,,1,3,,
"Mujeres (020)",75,3,51,14,6,1
"Sin nivel (021)",6,2,,1,3,
"Primaria (023)",29,1,19,6,2,1
"Secundaria (024)",18,,14,3,1,
"Superior no univ. incompleta (025)",7,,6,1,,
"Superior no univ. completa (026)",9,,7,2,,
"Superior univ. completa (028)",6,,5,1,,
,,,,,,
"Area Urbana (030)",268,20,126,79,36,7
"Sin nivel (031)",8,4,1,1,1,1
"Primaria (033)",115,15,41,33,20,6
"Secundaria (034)",105,1,61,31,12,
"Superior no univ. incompleta (035)",13,,8,3,2,
"Superior no univ. completa (036)",15,,9,6,,
"Superior univ. incompleta (037)",3,,1,1,1,
"Superior univ. completa (038)",9,,5,4,,
"Hombres (040)",204,17,83,66,32,6
"Sin nivel (041)",4,2,1,,,1
"Primaria (043)",94,14,29,28,18,5
"Secundaria (044)",87,1,47,28,11,
"Superior no univ. incompleta (045)",6,,2,2,2,
"Superior no univ. completa (046)",6,,2,4,,
"Superior univ. incompleta (047)",3,,1,1,1,
"Superior univ. completa (048)",4,,1,3,,
"Mujeres (050)",64,3,43,13,4,1
"Sin nivel (051)",4,2,,1,1,
"Primaria (053)",21,1,12,5,2,1
"Secundaria (054)",18,,14,3,1,
"Superior no univ. incompleta (055)",7,,6,1,,
"Superior no univ. completa (056)",9,,7,2,,
"Superior univ. completa (058)",5,,4,1,,
,,,,,,
"Area Rural (060)",57,2,23,20,9,3
"Sin nivel (061)",8,,1,3,3,1
"Primaria (063)",34,1,13,15,3,2
"Secundaria (064)",13,1,8,1,3,
"Superior no univ. completa (066)",1,,,1,,
"Superior univ. completa (068)",1,,1,,,
"Hombres (070)",46,2,15,19,7,3
"Sin nivel (071)",6,,1,3,1,1
"Primaria (073)",26,1,6,14,3,2
"Secundaria (074)",13,1,8,1,3,
"Superior no univ. completa (076)",1,,,1,,
"Mujeres (080)",11,,8,1,2,
"Sin nivel (081)",2,,,,2,
"Primaria (083)",8,,7,1,,
"Superior univ. completa (088)",1,,1,,,
