"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia LUCANAS (000)",23947,23043,6420,2661,2648,2193,3323,2542,1746,1510,904,77575
"De 12 a 14 años (001)",2227,2203,2191,11,1,,,,,,24,13
"De 15 a 19 años (002)",2785,2741,2349,323,53,11,5,,,,44,482
"De 20 a 24 años (003)",2353,2105,803,759,407,101,32,3,,,248,2028
"De 25 a 29 años (004)",2162,1949,295,567,568,327,156,31,5,,213,3590
"De 30 a 34 años (005)",1993,1882,161,315,491,421,387,95,12,,111,4949
"De 35 a 39 años (006)",1910,1839,101,189,367,370,481,233,86,12,71,6470
"De 40 a 44 años (007)",1778,1729,98,106,219,256,476,352,154,68,49,7686
"De 45 a 49 años (008)",1475,1451,72,90,129,175,346,332,189,118,24,7446
"De 50 y más años (009)",7264,7144,350,301,413,532,1440,1496,1300,1312,120,44911
"Conviviente (010)",5617,5454,485,1277,1217,757,844,454,248,172,163,16626
"De 12 a 14 años (011)",39,17,11,6,,,,,,,22,6
"De 15 a 19 años (012)",427,387,129,208,45,3,2,,,,40,315
"De 20 a 24 años (013)",1025,985,136,462,297,68,22,,,,40,1350
"De 25 a 29 años (014)",1096,1068,75,312,361,196,100,20,4,,28,2208
"De 30 a 34 años (015)",861,851,32,138,233,199,204,43,2,,10,2380
"De 35 a 39 años (016)",656,650,24,67,137,139,179,70,31,3,6,2283
"De 40 a 44 años (017)",473,469,20,30,57,62,126,100,57,17,4,2186
"De 45 a 49 años (018)",340,339,16,18,36,44,77,81,39,28,1,1719
"De 50 y más años (019)",700,688,42,36,51,46,134,140,115,124,12,4179
"Separado(a) (020)",867,849,28,220,172,110,161,84,44,30,18,2859
"De 12 a 14 años (021)",1,1,1,,,,,,,,,
"De 15 a 19 años (022)",21,21,1,19,1,,,,,,,21
