"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia SECHURA (000)",61873,1665,20789,17864,11092,7456,3007
"Jefe o Jefa (001)",14652,,10,3242,5342,4189,1869
"Esposa(o) / compañera(o) (002)",10477,,8,3399,3916,2500,654
"Hijo(a) / hijastro(a) (003)",30225,1291,18473,8854,1283,317,7
"Yerno / nuera (004)",889,,6,736,122,25,
"Nieto(a) (005)",2376,309,1675,379,13,,
"Padres / suegros (006)",475,,,,13,125,337
"Otro(a) pariente (007)",2214,63,570,888,300,261,132
"Trabajador(a) del hogar (008)",92,,12,69,9,2,
"Pensionistas (009)",85,,3,57,23,2,
"Otro(a) no pariente (010)",388,2,32,240,71,35,8
"Hombres (011)",30852,807,10479,8701,5530,3815,1520
"Jefe o Jefa (012)",11762,,9,2639,4433,3369,1312
"Esposa(o) / compañera(o) (013)",317,,7,121,102,66,21
"Hijo(a) / hijastro(a) (014)",15613,625,9312,4877,654,142,3
"Yerno / nuera (015)",336,,3,229,83,21,
"Nieto(a) (016)",1200,145,847,201,7,,
"Padres / suegros (017)",154,,,,4,43,107
"Otro(a) pariente (018)",1237,35,288,512,188,145,69
"Trabajador(a) del hogar (019)",4,,,3,1,,
"Pensionistas (020)",54,,1,34,17,2,
"Otro(a) no pariente (021)",175,2,12,85,41,27,8
"Mujeres (022)",31021,858,10310,9163,5562,3641,1487
"Jefe o Jefa (023)",2890,,1,603,909,820,557
"Esposa(o) / compañera(o) (024)",10160,,1,3278,3814,2434,633
"Hijo(a) / hijastro(a) (025)",14612,666,9161,3977,629,175,4
"Yerno / nuera (026)",553,,3,507,39,4,
"Nieto(a) (027)",1176,164,828,178,6,,
"Padres / suegros (028)",321,,,,9,82,230
"Otro(a) pariente (029)",977,28,282,376,112,116,63
"Trabajador(a) del hogar (030)",88,,12,66,8,2,
"Pensionistas (031)",31,,2,23,6,,
"Otro(a) no pariente (032)",213,,20,155,30,8,
,,,,,,,
"URBANA (033)",58051,1557,19547,16699,10475,6965,2808
"Jefe o Jefa (034)",13754,,9,3043,5046,3914,1742
"Esposa(o) / compañera(o) (035)",9847,,8,3169,3718,2345,607
"Hijo(a) / hijastro(a) (036)",28314,1204,17386,8232,1191,294,7
"Yerno / nuera (037)",842,,6,696,116,24,
"Nieto(a) (038)",2219,291,1570,346,12,,
"Padres / suegros (039)",456,,,,11,120,325
"Otro(a) pariente (040)",2081,61,525,854,286,234,121
"Trabajador(a) del hogar (041)",92,,12,69,9,2,
"Pensionistas (042)",84,,3,57,22,2,
"Otro(a) no pariente (043)",362,1,28,233,64,30,6
"Hombres (044)",28844,746,9860,8083,5198,3547,1410
"Jefe o Jefa (045)",11001,,8,2463,4170,3140,1220
"Esposa(o) / compañera(o) (046)",300,,7,113,99,64,17
"Hijo(a) / hijastro(a) (047)",14599,578,8777,4502,608,131,3
"Yerno / nuera (048)",320,,3,217,80,20,
"Nieto(a) (049)",1115,133,790,186,6,,
"Padres / suegros (050)",149,,,,3,43,103
"Otro(a) pariente (051)",1145,34,263,486,178,123,61
"Trabajador(a) del hogar (052)",4,,,3,1,,
"Pensionistas (053)",53,,1,34,16,2,
"Otro(a) no pariente (054)",158,1,11,79,37,24,6
"Mujeres (055)",29207,811,9687,8616,5277,3418,1398
"Jefe o Jefa (056)",2753,,1,580,876,774,522
"Esposa(o) / compañera(o) (057)",9547,,1,3056,3619,2281,590
"Hijo(a) / hijastro(a) (058)",13715,626,8609,3730,583,163,4
"Yerno / nuera (059)",522,,3,479,36,4,
"Nieto(a) (060)",1104,158,780,160,6,,
"Padres / suegros (061)",307,,,,8,77,222
"Otro(a) pariente (062)",936,27,262,368,108,111,60
"Trabajador(a) del hogar (063)",88,,12,66,8,2,
"Pensionistas (064)",31,,2,23,6,,
"Otro(a) no pariente (065)",204,,17,154,27,6,
,,,,,,,
"RURAL (066)",3822,108,1242,1165,617,491,199
"Jefe o Jefa (067)",898,,1,199,296,275,127
"Esposa(o) / compañera(o) (068)",630,,,230,198,155,47
"Hijo(a) / hijastro(a) (069)",1911,87,1087,622,92,23,
"Yerno / nuera (070)",47,,,40,6,1,
"Nieto(a) (071)",157,18,105,33,1,,
"Padres / suegros (072)",19,,,,2,5,12
"Otro(a) pariente (073)",133,2,45,34,14,27,11
"Pensionistas (075)",1,,,,1,,
"Otro(a) no pariente (076)",26,1,4,7,7,5,2
"Hombres (077)",2008,61,619,618,332,268,110
"Jefe o Jefa (078)",761,,1,176,263,229,92
"Esposa(o) / compañera(o) (079)",17,,,8,3,2,4
"Hijo(a) / hijastro(a) (080)",1014,47,535,375,46,11,
"Yerno / nuera (081)",16,,,12,3,1,
"Nieto(a) (082)",85,12,57,15,1,,
"Padres / suegros (083)",5,,,,1,,4
"Otro(a) pariente (084)",92,1,25,26,10,22,8
"Pensionistas (086)",1,,,,1,,
"Otro(a) no pariente (087)",17,1,1,6,4,3,2
"Mujeres (088)",1814,47,623,547,285,223,89
"Jefe o Jefa (089)",137,,,23,33,46,35
"Esposa(o) / compañera(o) (090)",613,,,222,195,153,43
"Hijo(a) / hijastro(a) (091)",897,40,552,247,46,12,
"Yerno / nuera (092)",31,,,28,3,,
"Nieto(a) (093)",72,6,48,18,,,
"Padres / suegros (094)",14,,,,1,5,8
"Otro(a) pariente (095)",41,1,20,8,4,5,3
"Otro(a) no pariente (098)",9,,3,1,3,2,
