"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia DOS DE MAYO (000)",12132,10082,759,244,1047
"Hombres (001)",9014,7605,604,190,615
"Mujeres (002)",3118,2477,155,54,432
"De 06 a 14 años (003)",255,221,33,1,
"Hombres (004)",165,140,25,,
"Mujeres (005)",90,81,8,1,
"De 15 a 29 años (006)",3632,3069,240,87,236
"Hombres (007)",2764,2377,187,69,131
"Mujeres (008)",868,692,53,18,105
"De 30 a 44 años (009)",4051,3127,262,107,555
"Hombres (010)",2924,2326,207,82,309
"Mujeres (011)",1127,801,55,25,246
"De 45 a 64 años (012)",3134,2665,175,46,248
"Hombres (013)",2333,1986,142,36,169
"Mujeres (014)",801,679,33,10,79
"De 65 y más años (015)",1060,1000,49,3,8
"Hombres (016)",828,776,43,3,6
"Mujeres (017)",232,224,6,,2
,,,,,
"URBANA (018)",4626,3255,251,186,934
"Hombres (019)",3141,2272,195,142,532
"Mujeres (020)",1485,983,56,44,402
"De 06 a 14 años (021)",47,40,6,1,
"Hombres (022)",34,29,5,,
"Mujeres (023)",13,11,1,1,
"De 15 a 29 años (024)",1319,965,89,62,203
"Hombres (025)",921,692,72,49,108
"Mujeres (026)",398,273,17,13,95
"De 30 a 44 años (027)",1780,1098,92,84,506
"Hombres (028)",1151,751,68,63,269
"Mujeres (029)",629,347,24,21,237
"De 45 a 64 años (030)",1182,875,50,38,219
"Hombres (031)",812,594,39,29,150
"Mujeres (032)",370,281,11,9,69
"De 65 y más años (033)",298,277,14,1,6
"Hombres (034)",223,206,11,1,5
"Mujeres (035)",75,71,3,,1
,,,,,
"RURAL (036)",7506,6827,508,58,113
"Hombres (037)",5873,5333,409,48,83
"Mujeres (038)",1633,1494,99,10,30
"De 06 a 14 años (039)",208,181,27,,
"Hombres (040)",131,111,20,,
"Mujeres (041)",77,70,7,,
"De 15 a 29 años (042)",2313,2104,151,25,33
"Hombres (043)",1843,1685,115,20,23
"Mujeres (044)",470,419,36,5,10
"De 30 a 44 años (045)",2271,2029,170,23,49
"Hombres (046)",1773,1575,139,19,40
"Mujeres (047)",498,454,31,4,9
"De 45 a 64 años (048)",1952,1790,125,8,29
"Hombres (049)",1521,1392,103,7,19
"Mujeres (050)",431,398,22,1,10
"De 65 y más años (051)",762,723,35,2,2
"Hombres (052)",605,570,32,2,1
"Mujeres (053)",157,153,3,,1
