"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia PICOTA (000)",12582,12270,3000,1825,1769,1478,1872,1104,668,554,312,37034
"De 12 a 14 años (001)",1305,1293,1283,10,,,,,,,12,10
"De 15 a 19 años (002)",1815,1748,1235,429,76,6,2,,,,67,607
"De 20 a 24 años (003)",1484,1397,254,647,350,113,32,1,,,87,1828
"De 25 a 29 años (004)",1460,1409,85,351,511,299,150,12,1,,51,2986
"De 30 a 34 años (005)",1228,1200,36,169,346,304,277,57,9,2,28,3429
"De 35 a 39 años (006)",1192,1176,32,82,197,301,366,150,39,9,16,4350
"De 40 a 44 años (007)",1060,1050,18,43,141,198,349,193,81,27,10,4656
"De 45 a 49 años (008)",737,731,14,22,71,110,219,163,98,34,6,3685
"De 50 y más años (009)",2301,2266,43,72,77,147,477,528,440,482,35,15483
"Sin nivel (010)",957,936,62,52,53,82,166,197,148,176,21,5723
"De 12 a 14 años (011)",8,8,8,,,,,,,,,
"De 15 a 19 años (012)",28,28,16,7,5,,,,,,,17
"De 20 a 24 años (013)",43,40,7,14,10,6,3,,,,3,65
"De 25 a 29 años (014)",75,71,8,9,13,24,13,3,1,,4,193
"De 30 a 34 años (015)",59,57,1,1,8,14,21,9,3,,2,233
"De 35 a 39 años (016)",95,94,1,4,3,8,30,31,14,3,1,517
"De 40 a 44 años (017)",91,88,,1,9,8,18,26,16,10,3,537
"De 45 a 49 años (018)",93,93,3,2,1,5,19,27,20,16,,627
"De 50 y más años (019)",465,457,18,14,4,17,62,101,94,147,8,3534
"Educacion Inicial (020)",20,19,7,2,3,2,4,1,,,1,38
"De 12 a 14 años (021)",3,3,3,,,,,,,,,
"De 15 a 19 años (022)",3,3,3,,,,,,,,,
