"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia CHINCHA (000)",56981,595,1639,3881,6708,10470,18458,15230
"De 12 a 14 años (001)",66,,,,,,5,61
"De 15 a 19 años (002)",1546,,,,,,859,687
"De 20 a 24 años (003)",6425,,,,,20,3321,3084
"De 25 a 29 años (004)",7629,,,,,319,4489,2821
"De 30 a 34 años (005)",7547,,,,1,1147,4503,1896
"De 35 a 39 años (006)",6746,,,,73,2127,3156,1390
"De 40 a 44 años (007)",5761,,,,497,2579,1583,1102
"De 45 a 49 años (008)",4768,,,43,1145,2274,473,833
"De 50 y más años (009)",16493,595,1639,3838,4992,2004,69,3356
"Sin nivel (010)",2493,140,272,458,489,287,151,696
"De 12 a 14 años (011)",1,,,,,,,1
"De 15 a 19 años (012)",11,,,,,,9,2
"De 20 a 24 años (013)",31,,,,,,12,19
"De 25 a 29 años (014)",50,,,,,2,17,31
"De 30 a 34 años (015)",93,,,,,13,43,37
"De 35 a 39 años (016)",100,,,,2,33,28,37
"De 40 a 44 años (017)",115,,,,10,37,26,42
"De 45 a 49 años (018)",127,,,1,30,50,11,35
"De 50 y más años (019)",1965,140,272,457,447,152,5,492
"Educacion Inicial (020)",42,,,,,5,15,22
"De 15 a 19 años (022)",5,,,,,,2,3
"De 20 a 24 años (023)",8,,,,,,2,6
"De 25 a 29 años (024)",14,,,,,,7,7
"De 30 a 34 años (025)",10,,,,,2,2,6
"De 35 a 39 años (026)",5,,,,,3,2,
"Primaria (030)",16569,373,1043,2364,3265,3207,3034,3283
"De 12 a 14 años (031)",18,,,,,,1,17
"De 15 a 19 años (032)",195,,,,,,122,73
"De 20 a 24 años (033)",632,,,,,5,392,235
"De 25 a 29 años (034)",842,,,,,39,567,236
"De 30 a 34 años (035)",1124,,,,,171,695,258
"De 35 a 39 años (036)",1395,,,,18,500,640,237
"De 40 a 44 años (037)",1561,,,,162,713,420,266
"De 45 a 49 años (038)",1723,,,17,447,821,165,273
"De 50 y más años (039)",9079,373,1043,2347,2638,958,32,1688
"Secundaria (040)",22225,55,239,701,1942,4277,9422,5589
"De 12 a 14 años (041)",47,,,,,,4,43
"De 15 a 19 años (042)",1185,,,,,,653,532
"De 20 a 24 años (043)",3378,,,,,10,2026,1342
"De 25 a 29 años (044)",3526,,,,,178,2318,1030
"De 30 a 34 años (045)",3452,,,,1,583,2161,707
"De 35 a 39 años (046)",3001,,,,47,1004,1401,549
"De 40 a 44 años (047)",2423,,,,230,1140,652,401
"De 45 a 49 años (048)",1779,,,18,466,814,186,295
"De 50 y más años (049)",3434,55,239,683,1198,548,21,690
