"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia BONGARA (000)",25783,1213,3008,3431,2956,4210,3847,5398,1720
"Sin nivel (001)",3340,1213,397,57,46,133,275,724,495
"Educación inicial (002)",733,,697,11,7,4,14,,
"Primaria (003)",13645,,1914,2552,1154,1937,1918,3129,1041
"Secundaria (004)",5868,,,811,1679,1488,921,876,93
"Superior no univ. incompleto (005)",392,,,,36,137,112,96,11
"Superior no univ. completo (006)",811,,,,,236,300,242,33
"Superior univ. incompleto (007)",341,,,,34,133,90,76,8
"Superior univ. completo (008)",653,,,,,142,217,255,39
"Hombres (010)",13305,597,1535,1771,1606,2203,1967,2833,793
"Sin nivel (011)",1305,597,208,39,22,42,88,187,122
"Educación inicial (012)",385,,366,7,4,3,5,,
"Primaria (013)",6953,,961,1314,651,978,894,1632,523
"Secundaria (014)",3378,,,411,898,836,570,584,79
"Superior no univ. incompleto (015)",242,,,,16,80,70,67,9
"Superior no univ. completo (016)",441,,,,,119,152,145,25
"Superior univ. incompleto (017)",196,,,,15,72,58,46,5
"Superior univ. completo (018)",405,,,,,73,130,172,30
"Mujeres (020)",12478,616,1473,1660,1350,2007,1880,2565,927
"Sin nivel (021)",2035,616,189,18,24,91,187,537,373
"Educación inicial (022)",348,,331,4,3,1,9,,
"Primaria (023)",6692,,953,1238,503,959,1024,1497,518
"Secundaria (024)",2490,,,400,781,652,351,292,14
"Superior no univ. incompleto (025)",150,,,,20,57,42,29,2
"Superior no univ. completo (026)",370,,,,,117,148,97,8
"Superior univ. incompleto (027)",145,,,,19,61,32,30,3
"Superior univ. completo (028)",248,,,,,69,87,83,9
,,,,,,,,,
"URBANA (030)",15555,674,1695,1970,1776,2418,2459,3455,1108
"Sin nivel (031)",1455,674,166,17,22,41,78,225,232
"Educación inicial (032)",412,,386,7,4,4,11,,
"Primaria (033)",7589,,1143,1323,495,838,1065,1972,753
"Secundaria (034)",4335,,,623,1205,1023,694,724,66
"Superior no univ. incompleto (035)",345,,,,27,117,97,94,10
"Superior no univ. completo (036)",705,,,,,198,275,208,24
"Superior univ. incompleto (037)",238,,,,23,85,76,50,4
"Superior univ. completo (038)",476,,,,,112,163,182,19
"Hombres (040)",7948,327,847,1031,984,1230,1237,1795,497
"Sin nivel (041)",554,327,79,13,12,12,22,42,47
"Educación inicial (042)",210,,197,4,2,3,4,,
"Primaria (043)",3723,,571,697,303,386,469,949,348
"Secundaria (044)",2433,,,317,643,547,406,463,57
"Superior no univ. incompleto (045)",213,,,,11,70,58,66,8
"Superior no univ. completo (046)",385,,,,,101,138,126,20
"Superior univ. incompleto (047)",145,,,,13,49,51,29,3
"Superior univ. completo (048)",285,,,,,62,89,120,14
"Mujeres (050)",7607,347,848,939,792,1188,1222,1660,611
"Sin nivel (051)",901,347,87,4,10,29,56,183,185
"Educación inicial (052)",202,,189,3,2,1,7,,
"Primaria (053)",3866,,572,626,192,452,596,1023,405
"Secundaria (054)",1902,,,306,562,476,288,261,9
"Superior no univ. incompleto (055)",132,,,,16,47,39,28,2
"Superior no univ. completo (056)",320,,,,,97,137,82,4
"Superior univ. incompleto (057)",93,,,,10,36,25,21,1
"Superior univ. completo (058)",191,,,,,50,74,62,5
,,,,,,,,,
"RURAL (060)",10228,539,1313,1461,1180,1792,1388,1943,612
"Sin nivel (061)",1885,539,231,40,24,92,197,499,263
"Educación inicial (062)",321,,311,4,3,,3,,
"Primaria (063)",6056,,771,1229,659,1099,853,1157,288
"Secundaria (064)",1533,,,188,474,465,227,152,27
"Superior no univ. incompleto (065)",47,,,,9,20,15,2,1
"Superior no univ. completo (066)",106,,,,,38,25,34,9
"Superior univ. incompleto (067)",103,,,,11,48,14,26,4
"Superior univ. completo (068)",177,,,,,30,54,73,20
"Hombres (070)",5357,270,688,740,622,973,730,1038,296
"Sin nivel (071)",751,270,129,26,10,30,66,145,75
"Educación inicial (072)",175,,169,3,2,,1,,
"Primaria (073)",3230,,390,617,348,592,425,683,175
"Secundaria (074)",945,,,94,255,289,164,121,22
"Superior no univ. incompleto (075)",29,,,,5,10,12,1,1
"Superior no univ. completo (076)",56,,,,,18,14,19,5
"Superior univ. incompleto (077)",51,,,,2,23,7,17,2
"Superior univ. completo (078)",120,,,,,11,41,52,16
"Mujeres (080)",4871,269,625,721,558,819,658,905,316
"Sin nivel (081)",1134,269,102,14,14,62,131,354,188
"Educación inicial (082)",146,,142,1,1,,2,,
"Primaria (083)",2826,,381,612,311,507,428,474,113
"Secundaria (084)",588,,,94,219,176,63,31,5
"Superior no univ. incompleto (085)",18,,,,4,10,3,1,
"Superior no univ. completo (086)",50,,,,,20,11,15,4
"Superior univ. incompleto (087)",52,,,,9,25,7,9,2
"Superior univ. completo (088)",57,,,,,19,13,21,4
