"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia ALTO AMAZONAS (000)",33856,32801,9366,4084,3969,3365,4931,3232,2092,1762,1055,102652
"De 12 a 14 años (001)",4153,4104,4064,34,6,,,,,,49,46
"De 15 a 19 años (002)",5472,5235,3796,1074,309,44,12,,,,237,1872
"De 20 a 24 años (003)",4081,3804,771,1258,1047,503,205,20,,,277,5845
"De 25 a 29 años (004)",3763,3579,250,711,917,764,756,163,18,,184,9314
"De 30 a 34 años (005)",3115,3047,114,359,555,628,887,379,107,18,68,10750
"De 35 a 39 años (006)",3126,3076,94,198,389,541,928,573,280,73,50,13557
"De 40 a 44 años (007)",2542,2507,65,134,276,304,710,548,309,161,35,12734
"De 45 a 49 años (008)",2047,2015,52,102,170,240,436,443,318,254,32,11518
"De 50 y más años (009)",5557,5434,160,214,300,341,997,1106,1060,1256,123,37016
"Sin nivel (010)",4096,3891,401,245,294,316,810,680,564,581,205,21344
"De 12 a 14 años (011)",93,90,89,,1,,,,,,3,2
"De 15 a 19 años (012)",269,232,137,58,26,9,2,,,,37,145
"De 20 a 24 años (013)",311,289,51,44,75,62,50,7,,,22,636
"De 25 a 29 años (014)",391,366,16,29,44,67,151,53,6,,25,1376
"De 30 a 34 años (015)",377,362,10,15,31,32,134,90,38,12,15,1797
"De 35 a 39 años (016)",473,455,19,24,13,36,131,114,96,22,18,2536
"De 40 a 44 años (017)",398,383,10,15,25,29,87,90,72,55,15,2372
"De 45 a 49 años (018)",367,354,7,20,18,18,56,91,74,70,13,2387
"De 50 y más años (019)",1417,1360,62,40,61,63,199,235,278,422,57,10093
"Educacion Inicial (020)",39,37,15,6,4,2,5,3,1,1,2,79
"De 12 a 14 años (021)",7,7,7,,,,,,,,,
