"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CORONEL PORTILLO (000)",120266,115029,34766,17623,16572,13052,16694,8461,4406,3455,5237,294309
"De 12 a 14 años (001)",12720,12559,12417,113,29,,,,,,161,171
"De 15 a 19 años (002)",18962,18221,14466,3008,601,115,31,,,,741,4679
"De 20 a 24 años (003)",15801,13942,4384,5452,2860,934,285,27,,,1859,15333
"De 25 a 29 años (004)",13714,12568,1336,3834,3869,2145,1230,131,23,,1146,24237
"De 30 a 34 años (005)",11958,11499,631,1967,3175,2639,2446,532,91,18,459,31138
"De 35 a 39 años (006)",10787,10536,436,1092,2185,2294,3114,1089,259,67,251,35760
"De 40 a 44 años (007)",9466,9331,300,713,1494,1826,2983,1380,486,149,135,36877
"De 45 a 49 años (008)",7439,7332,192,479,931,1197,2153,1404,663,313,107,33595
"De 50 y más años (009)",19419,19041,604,965,1428,1902,4452,3898,2884,2908,378,112519
"Sin nivel (010)",3621,3419,416,222,259,288,589,575,483,587,202,18919
"De 12 a 14 años (011)",103,103,99,3,1,,,,,,,5
"De 15 a 19 años (012)",156,151,107,28,13,3,,,,,5,63
"De 20 a 24 años (013)",145,122,40,28,24,24,6,,,,23,175
"De 25 a 29 años (014)",174,143,26,22,32,28,19,13,3,,31,357
"De 30 a 34 años (015)",197,179,20,14,36,36,46,16,7,4,18,595
"De 35 a 39 años (016)",194,185,7,14,18,28,63,35,14,6,9,826
"De 40 a 44 años (017)",227,217,19,11,24,26,56,48,26,7,10,993
"De 45 a 49 años (018)",255,249,17,11,16,24,53,57,43,28,6,1418
"De 50 y más años (019)",2170,2070,81,91,95,119,346,406,390,542,100,14487
"Educacion Inicial (020)",195,176,80,23,31,16,17,8,1,,19,267
