"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia JAEN (000)",64185,1617,22945,21855,14179,3589
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",95,,6,45,42,2
"Profes., científicos e intelectuales (002)",4717,,1003,2550,1133,31
"Técnicos de nivel medio y trab.asimilados (003)",1709,2,674,641,331,61
"Jefes y empleados de oficina (004)",1537,,662,586,284,5
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",6260,123,2117,2375,1432,213
"Agricult.trabaj. calif. agrop. y pesqueros (006)",15810,84,3730,5363,4654,1979
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",2909,70,1074,1011,651,103
"Obreros construc., conf., papel, fab., instr. (008)",5141,28,2168,1884,955,106
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",21654,1211,9666,6002,3862,913
"Otra (010)",209,,43,110,55,1
"Ocupación no especificada (011)",2143,20,778,755,482,108
"Desocupado (012)",2001,79,1024,533,298,67
"Hombres (013)",48781,1227,17270,16042,11081,3161
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",73,,5,30,37,1
"Profes., científicos e intelectuales (015)",2365,,449,1219,672,25
"Técnicos de nivel medio y trab.asimilados (016)",1089,2,380,413,242,52
"Jefes y empleados de oficina (017)",737,,247,314,171,5
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",2984,71,990,1044,739,140
"Agricult.trabaj. calif. agrop. y pesqueros (019)",14883,73,3513,5071,4352,1874
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",2422,65,941,802,519,95
"Obreros construc., conf., papel, fab., instr. (021)",5052,28,2121,1858,943,102
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",16379,929,7482,4393,2833,742
"Otra (023)",205,,41,109,54,1
"Ocupación no especificada (024)",1127,11,412,389,254,61
"Desocupado (025)",1465,48,689,400,265,63
"Mujeres (026)",15404,390,5675,5813,3098,428
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",22,,1,15,5,1
"Profes., científicos e intelectuales (028)",2352,,554,1331,461,6
"Técnicos de nivel medio y trab.asimilados (029)",620,,294,228,89,9
"Jefes y empleados de oficina (030)",800,,415,272,113,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",3276,52,1127,1331,693,73
"Agricult.trabaj. calif. agrop. y pesqueros (032)",927,11,217,292,302,105
