"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CONTRALMIRANTE VILLAR (000)",6115,4430,649,368,668
"Agric., ganadería, caza y silvicultura (001)",658,639,13,4,2
"Pesca (002)",1510,1277,203,17,13
"Explotación de minas y canteras (003)",14,3,1,,10
"Industrias manufactureras (004)",278,195,17,10,56
"Suministro de electricidad, gas y agua (005)",36,26,1,5,4
"Construcción (006)",434,253,123,51,7
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",743,704,32,3,4
"Venta, mant.y rep. veh.autom y motoc. (008)",79,75,2,,2
"Comercio al por mayor (009)",35,24,7,2,2
"Comercio al por menor (010)",629,605,23,1,
"Hoteles y restaurantes (011)",388,266,57,58,7
"Trans., almac. y comunicaciones (012)",533,436,44,33,20
"Intermediación financiera (013)",11,3,,4,4
"Activid.inmobil., empres. y alquileres (014)",233,130,29,49,25
"Admin.pub. y defensa; p. segur soc.afil (015)",368,,,,368
"Enseñanza (016)",318,81,71,88,78
"Servicios sociales y de salud (017)",60,15,6,5,34
"Otras activ. serv.comun.soc y personales (018)",260,158,38,37,27
"Hogares privados con servicio doméstico (019)",115,115,,,
"Actividad economica no especificada (021)",156,129,14,4,9
"Hombres (022)",4648,3499,516,256,377
"Agric., ganadería, caza y silvicultura (023)",610,593,11,4,2
"Pesca (024)",1489,1259,200,17,13
"Explotación de minas y canteras (025)",14,3,1,,10
"Industrias manufactureras (026)",191,146,15,4,26
"Suministro de electricidad, gas y agua (027)",35,25,1,5,4
"Construcción (028)",422,247,120,49,6
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",434,405,24,2,3
"Venta, mant.y rep. veh.autom y motoc. (030)",73,69,2,,2
"Comercio al por mayor (031)",25,16,6,2,1
"Comercio al por menor (032)",336,320,16,,
"Hoteles y restaurantes (033)",143,70,27,41,5
"Trans., almac. y comunicaciones (034)",508,421,43,28,16
"Intermediación financiera (035)",5,1,,3,1
"Activid.inmobil., empres. y alquileres (036)",166,104,17,29,16
"Admin.pub. y defensa; p. segur soc.afil (037)",209,,,,209
"Enseñanza (038)",134,25,29,45,35
"Servicios sociales y de salud (039)",27,9,2,1,15
"Otras activ. serv.comun.soc y personales (040)",171,115,17,26,13
"Hogares privados con servicio doméstico (041)",8,8,,,
