"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CARAVELI (000)",16677,692,8,3256,7645,1283,1501,795,1497
"Agric., ganadería, caza y silvicultura (001)",3113,279,,1044,1174,196,166,97,157
"Pesca (002)",918,30,,163,471,70,66,58,60
"Explotación de minas y canteras (003)",5422,121,5,891,3070,390,401,237,307
"Industrias manufactureras (004)",421,10,,77,202,39,35,19,39
"Suministro de electricidad, gas y agua (005)",46,1,,8,15,9,9,2,2
"Construcción (006)",657,6,,123,346,56,56,32,38
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1989,117,1,406,805,169,236,95,160
"Venta, mant.y rep. veh.autom.y motoc. (008)",192,2,,22,79,15,34,10,30
"Comercio al por mayor (009)",113,8,,17,44,10,14,6,14
"Comercio al por menor (010)",1684,107,1,367,682,144,188,79,116
"Hoteles y restaurantes (011)",953,69,,207,436,67,80,39,55
"Trans., almac. y comunicaciones (012)",860,5,2,112,417,78,95,83,68
"Intermediación financiera (013)",15,1,,,2,,4,3,5
"Activid.inmobil., empres. y de alquiler (014)",350,4,,25,127,44,52,18,80
"Admin.pub. y defensa; p. segur.soc.afil (015)",390,7,,24,116,56,71,51,65
"Enseñanza (016)",527,,,,40,25,117,22,323
"Servicios sociales y de salud (017)",144,,,1,19,6,33,6,79
"Otras activ. serv.comun.soc y personales (018)",332,13,,51,154,36,40,16,22
"Hogares privados con servicio doméstico (019)",238,14,,61,124,13,9,7,10
"Actividad economica no especificada (021)",302,15,,63,127,29,31,10,27
"Hombres (022)",12594,365,6,2390,6119,1005,1052,666,991
"Agric., ganadería, caza y silvicultura (023)",2628,190,,870,1022,179,139,88,140
"Pesca (024)",854,21,,142,453,67,61,54,56
"Explotación de minas y canteras (025)",5098,103,4,813,2928,367,377,229,277
"Industrias manufactureras (026)",332,3,,66,156,34,29,15,29
"Suministro de electricidad, gas y agua (027)",42,1,,8,15,8,6,2,2
"Construcción (028)",647,6,,120,343,55,55,31,37
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",839,21,,139,345,82,114,56,82
"Venta, mant.y rep. veh.autom.y motoc. (030)",175,2,,20,73,14,30,9,27
"Comercio al por mayor (031)",69,3,,8,30,6,7,6,9
"Comercio al por menor (032)",595,16,,111,242,62,77,41,46
"Hoteles y restaurantes (033)",182,2,,35,88,18,20,12,7
"Trans., almac. y comunicaciones (034)",803,5,2,107,391,70,85,83,60
"Intermediación financiera (035)",7,,,,1,,1,1,4
"Activid.inmobil., empres. y de alquiler (036)",281,2,,18,105,35,40,15,66
"Admin.pub. y defensa; p. segur.soc.afil (037)",290,6,,22,91,41,41,47,42
"Enseñanza (038)",191,,,,12,4,35,10,130
"Servicios sociales y de salud (039)",54,,,1,11,4,10,3,25
"Otras activ. serv.comun.soc y personales (040)",173,1,,25,79,19,22,12,15
"Hogares privados con servicio doméstico (041)",21,1,,6,8,2,3,1,
"Actividad economica no especificada (043)",152,3,,18,71,20,14,7,19
"Mujeres (044)",4083,327,2,866,1526,278,449,129,506
