"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia UTCUBAMBA (000)",34930,40,2077,552,571,2748,11447,968,2169,13543,355,460
"Agric., ganadería, caza y silvicultura (001)",22684,,8,5,3,,11446,3,20,11199,,
"Pesca (002)",5,,,,,,1,,,4,,
"Explotación de minas y canteras (003)",50,,5,4,7,,,21,1,12,,
"Industrias manufactureras (004)",828,,12,16,9,4,,649,107,31,,
"Suministro de electricidad, gas y agua (005)",29,,1,5,6,,,5,2,10,,
"Construcción (006)",841,,18,18,3,,,26,573,203,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",3063,1,32,100,37,2102,,248,29,514,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",331,,1,14,4,76,,206,19,11,,
"Comercio al por mayor (009)",194,,8,17,13,142,,,4,10,,
"Comercio al por menor (010)",2538,1,23,69,20,1884,,42,6,493,,
"Hoteles y restaurantes (011)",882,1,8,27,12,518,,,,316,,
"Trans., almac. y comunicaciones (012)",1685,,18,26,30,3,,8,1379,221,,
"Intermediación financiera (013)",38,,3,9,25,,,,,1,,
"Activid.inmobil., empres. y alquileres (014)",393,,88,76,71,68,,1,19,70,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",968,17,52,79,257,11,,2,32,163,355,
"Enseñanza (016)",1707,21,1637,3,37,,,,,9,,
"Servicios sociales y de salud (017)",327,,155,108,22,8,,1,4,29,,
