"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia YAROWILCA (000)",9610,586,2658,2895,2479,992
"Agric., ganadería, caza y silvicultura (001)",7810,575,2047,2196,2076,916
"Explotación de minas y canteras (003)",16,,6,6,4,
"Industrias manufactureras (004)",93,2,36,25,21,9
"Construcción (006)",137,1,39,50,44,3
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",316,2,126,115,58,15
"Venta, mant.y rep. veh.autom.y motoc. (008)",11,,9,1,1,
"Comercio al por mayor (009)",18,,9,8,,1
"Comercio al por menor (010)",287,2,108,106,57,14
"Hoteles y restaurantes (011)",145,3,64,41,31,6
"Trans., almac. y comunicaciones (012)",92,,41,36,12,3
"Intermediación financiera (013)",1,,1,,,
"Activid.inmobil., empres. y alquileres (014)",18,1,5,11,1,
"Admin.pub. y defensa; p. segur.soc.afil (015)",95,,27,45,22,1
"Enseñanza (016)",421,,75,232,111,3
"Servicios sociales y de salud (017)",64,,31,26,7,
"Otras activ. serv.comun.soc y personales (018)",33,,13,13,7,
"Hogares privados con servicio doméstico (019)",106,2,59,26,15,4
"Actividad economica no especificada (021)",263,,88,73,70,32
"Hombres (022)",6362,327,1728,1932,1668,707
"Agric., ganadería, caza y silvicultura (023)",5350,321,1395,1524,1429,681
"Explotación de minas y canteras (025)",16,,6,6,4,
"Industrias manufactureras (026)",77,1,28,22,19,7
"Construcción (028)",136,1,39,49,44,3
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",150,2,69,41,30,8
"Venta, mant.y rep. veh.autom.y motoc. (030)",11,,9,1,1,
"Comercio al por mayor (031)",6,,4,2,,
"Comercio al por menor (032)",133,2,56,38,29,8
"Hoteles y restaurantes (033)",16,,12,1,3,
"Trans., almac. y comunicaciones (034)",85,,39,35,10,1
"Intermediación financiera (035)",1,,1,,,
"Activid.inmobil., empres. y alquileres (036)",15,1,4,9,1,
"Admin.pub. y defensa; p. segur.soc.afil (037)",83,,21,43,18,1
"Enseñanza (038)",282,,52,149,78,3
"Servicios sociales y de salud (039)",30,,13,15,2,
"Otras activ. serv.comun.soc y personales (040)",24,,10,8,6,
"Hogares privados con servicio doméstico (041)",21,1,10,6,4,
"Actividad economica no especificada (043)",76,,29,24,20,3
"Mujeres (045)",3248,259,930,963,811,285
"Agric., ganadería, caza y silvicultura (046)",2460,254,652,672,647,235
"Industrias manufactureras (049)",16,1,8,3,2,2
