"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CONDORCANQUI (000)",10367,1577,20,5069,2601,286,424,103,287
"Agric., ganadería, caza y silvicultura (001)",8047,1492,16,4576,1879,38,22,18,6
"Pesca (002)",41,5,,19,13,1,1,,2
"Explotación de minas y canteras (003)",21,2,,7,12,,,,
"Industrias manufactureras (004)",108,2,,28,66,4,5,1,2
"Suministro de electricidad, gas y agua (005)",1,,,,,,,,1
"Construcción (006)",166,9,,49,91,7,7,,3
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",306,6,,108,143,13,23,4,9
"Venta, mant.y rep. veh.autom.y motoc. (008)",18,,,2,10,,6,,
"Comercio al por mayor (009)",17,2,,2,9,,2,,2
"Comercio al por menor (010)",271,4,,104,124,13,15,4,7
"Hoteles y restaurantes (011)",120,5,1,55,49,2,4,2,2
"Trans., almac. y comunicaciones (012)",119,3,,38,62,8,7,1,
"Intermediación financiera (013)",2,,,,,,,,2
"Activid.inmobil., empres. y de alquiler (014)",56,,,6,13,9,12,1,15
"Admin.pub. y defensa; p. segur.soc.afil (015)",181,,,5,56,19,50,15,36
"Enseñanza (016)",684,,,,69,170,259,48,138
"Servicios sociales y de salud (017)",114,,,2,30,5,19,7,51
"Otras activ. serv.comun.soc y personales (018)",60,,,9,20,4,9,3,15
"Hogares privados con servicio doméstico (019)",125,10,,57,54,2,1,,1
"Organiz. y organos extraterritoriales (020)",1,,,,,,,,1
"Actividad economica no especificada (021)",215,43,3,110,44,4,5,3,3
"Hombres (022)",6023,411,4,2761,2047,207,306,83,204
"Agric., ganadería, caza y silvicultura (023)",4497,387,4,2497,1527,37,21,18,6
"Pesca (024)",37,4,,16,13,1,1,,2
"Explotación de minas y canteras (025)",19,1,,6,12,,,,
"Industrias manufactureras (026)",97,2,,24,63,4,1,1,2
"Suministro de electricidad, gas y agua (027)",1,,,,,,,,1
"Construcción (028)",162,9,,46,90,7,7,,3
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",193,,,67,95,8,16,3,4
"Venta, mant.y rep. veh.autom.y motoc. (030)",18,,,2,10,,6,,
"Comercio al por mayor (031)",10,,,1,7,,2,,
"Comercio al por menor (032)",165,,,64,78,8,8,3,4
"Hoteles y restaurantes (033)",26,1,,12,8,2,,2,1
"Trans., almac. y comunicaciones (034)",115,2,,36,61,8,7,1,
"Intermediación financiera (035)",1,,,,,,,,1
"Activid.inmobil., empres. y de alquiler (036)",48,,,5,11,7,9,1,15
"Admin.pub. y defensa; p. segur.soc.afil (037)",158,,,5,51,15,42,14,31
"Enseñanza (038)",470,,,,44,109,182,37,98
"Servicios sociales y de salud (039)",84,,,2,28,5,14,5,30
"Otras activ. serv.comun.soc y personales (040)",33,,,6,13,2,4,1,7
"Hogares privados con servicio doméstico (041)",15,1,,6,7,1,,,
"Organiz. y organos extraterritoriales (042)",1,,,,,,,,1
"Actividad economica no especificada (043)",66,4,,33,24,1,2,,2
"Mujeres (044)",4344,1166,16,2308,554,79,118,20,83
