"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia SANTIAGO DE CHUCO (000)",2231,213,2018
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",161,76,85
"Casa pensión (003)",1,1,
"Hospital, clinica (004)",18,18,
"Cárcel, centro de readaptación social (005)",5,5,
"Otro (008)",1953,30,1923
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",93,83,10
