"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia PAUCAR DEL SARA SARA (000)",3869,69,1076,1214,1031,479
"Agric., ganadería, caza y silvicultura (001)",1796,43,410,435,532,376
"Pesca (002)",3,,3,,,
"Explotación de minas y canteras (003)",219,2,112,73,30,2
"Industrias manufactureras (004)",113,3,29,30,33,18
"Suministro de electricidad, gas y agua (005)",2,,2,,,
"Construcción (006)",196,2,82,61,38,13
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",373,5,117,125,99,27
"Venta, mant.y rep. veh.autom.y motoc. (008)",18,1,8,5,3,1
"Comercio al por mayor (009)",15,,3,4,8,
"Comercio al por menor (010)",340,4,106,116,88,26
"Hoteles y restaurantes (011)",98,2,26,35,30,5
"Trans., almac. y comunicaciones (012)",76,2,35,26,11,2
"Intermediación financiera (013)",2,,2,,,
"Activid.inmobil., empres. y alquileres (014)",41,,11,11,18,1
"Admin.pub. y defensa; p. segur.soc.afil (015)",137,,53,53,27,4
"Enseñanza (016)",475,,70,258,147,
"Servicios sociales y de salud (017)",61,,20,28,12,1
"Otras activ. serv.comun.soc y personales (018)",46,1,20,17,7,1
"Hogares privados con servicio doméstico (019)",54,5,22,11,12,4
"Actividad economica no especificada (021)",177,4,62,51,35,25
"Hombres (022)",2615,49,731,776,718,341
"Agric., ganadería, caza y silvicultura (023)",1380,33,319,340,409,279
"Pesca (024)",3,,3,,,
"Explotación de minas y canteras (025)",206,2,103,70,29,2
"Industrias manufactureras (026)",80,3,22,20,22,13
"Suministro de electricidad, gas y agua (027)",2,,2,,,
"Construcción (028)",192,2,82,59,36,13
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",155,1,45,48,51,10
"Venta, mant.y rep. veh.autom.y motoc. (030)",17,1,7,5,3,1
"Comercio al por mayor (031)",9,,2,2,5,
"Comercio al por menor (032)",129,,36,41,43,9
"Hoteles y restaurantes (033)",20,,3,11,5,1
"Trans., almac. y comunicaciones (034)",68,2,28,25,11,2
"Intermediación financiera (035)",1,,1,,,
"Activid.inmobil., empres. y alquileres (036)",26,,4,7,14,1
"Admin.pub. y defensa; p. segur.soc.afil (037)",99,,34,38,23,4
"Enseñanza (038)",227,,33,104,90,
"Servicios sociales y de salud (039)",25,,7,12,5,1
"Otras activ. serv.comun.soc y personales (040)",21,1,9,6,5,
"Hogares privados con servicio doméstico (041)",4,1,,1,1,1
