"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia ALTO AMAZONAS (000)",86049,25130,26545,18120,12504,3750
"Sin nivel (001)",6901,1284,1306,1762,1687,862
"Educación inicial (002)",1096,1042,35,19,,
"Primaria (003)",47059,19794,9734,8167,6853,2511
"Secundaria (004)",23297,3010,12344,5247,2446,250
"Superior no univ. incompleta (005)",2009,,1217,546,224,22
"Superior no univ. completa (006)",2312,,722,1029,522,39
"Superior univ. incompleta (007)",1209,,688,340,165,16
"Superior univ. completa (008)",2166,,499,1010,607,50
"PEA (010)",34644,1190,12137,11775,8042,1500
"Sin nivel (011)",2166,88,384,666,761,267
"Educación inicial (012)",41,15,15,11,,
"Primaria (013)",15943,883,4740,4957,4289,1074
"Secundaria (014)",10897,204,5134,3641,1814,104
"Superior no univ. incompleta (015)",1213,,593,428,180,12
"Superior no univ. completa (016)",1815,,541,878,386,10
"Superior univ. incompleta (017)",767,,330,288,139,10
"Superior univ. completa (018)",1802,,400,906,473,23
"Ocupada (020)",33372,1100,11545,11420,7855,1452
"Sin nivel (021)",2094,74,372,648,746,254
"Educación inicial (022)",38,15,12,11,,
"Primaria (023)",15421,822,4556,4815,4184,1044
"Secundaria (024)",10411,189,4842,3512,1767,101
"Superior no univ. incompleta (025)",1164,,567,414,172,11
"Superior no univ. completa (026)",1749,,511,851,378,9
"Superior univ. incompleta (027)",737,,309,280,138,10
"Superior univ. completa (028)",1758,,376,889,470,23
