"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia SAN MARCOS (000)",18955,52493,47146,,920,89.8,1.8
"De 12 a 14 años (001)",1922,22,22,,2,100,9.1
"De 15 a 19 años (002)",2523,468,457,124,97.6,26.5,
"De 20 a 24 años (003)",2039,1974,1900,218,96.3,11,
"De 25 a 29 años (004)",1851,3222,3115,192,96.7,6,
"De 30 a 34 años (005)",1744,4310,4100,190,95.1,4.4,
"De 35 a 39 años (006)",1661,5331,5014,130,94.1,2.4,
"De 40 a 44 años (007)",1370,5461,5103,50,93.4,0.9,
"De 45 a 49 años (008)",1193,5520,5047,14,91.4,0.3,
"De 50 y más años (009)",4652,26185,22388,,85.5,,
"PEA (010)",3199,6970,6421,108,92.1,1.5,
"De 12 a 14 años (011)",131,5,5,,100,,
"De 15 a 19 años (012)",420,65,64,12,98.5,18.5,
"De 20 a 24 años (013)",418,286,265,29,92.7,10.1,
"De 25 a 29 años (014)",372,430,424,16,98.6,3.7,
"De 30 a 34 años (015)",376,796,751,27,94.3,3.4,
"De 35 a 39 años (016)",378,964,908,16,94.2,1.7,
"De 40 a 44 años (017)",307,929,871,7,93.8,0.8,
"De 45 a 49 años (018)",243,900,835,1,92.8,0.1,
"De 50 y más años (019)",554,2595,2298,,88.6,,
"Ocupada (020)",3007,6843,6309,107,92.2,1.6,
"De 12 a 14 años (021)",111,5,5,,100,,
"De 15 a 19 años (022)",354,62,61,11,98.4,17.7,
"De 20 a 24 años (023)",375,278,257,29,92.4,10.4,
"De 25 a 29 años (024)",353,423,417,16,98.6,3.8,
"De 30 a 34 años (025)",361,777,733,27,94.3,3.5,
"De 35 a 39 años (026)",371,963,907,16,94.2,1.7,
"De 40 a 44 años (027)",299,904,856,7,94.7,0.8,
"De 45 a 49 años (028)",237,889,824,1,92.7,0.1,
"De 50 y más años (029)",546,2542,2249,,88.5,,
"Desocupada (030)",192,127,112,1,88.2,0.8,
"De 12 a 14 años (031)",20,,,,,,
"De 15 a 19 años (032)",66,3,3,1,100,33.3,
"De 20 a 24 años (033)",43,8,8,,100,,
"De 25 a 29 años (034)",19,7,7,,100,,
"De 30 a 34 años (035)",15,19,18,,94.7,,
"De 35 a 39 años (036)",7,1,1,,100,,
"De 40 a 44 años (037)",8,25,15,,60,,
