"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia CASMA (000)",39908,1640,3761,4842,4311,7050,6155,9161,2988
"Sabe leer y escribir (001)",34513,,2899,4782,4224,6823,5888,7932,1965
"No sabe leer y escribir (002)",5395,1640,862,60,87,227,267,1229,1023
"Hombres (004)",20429,865,1985,2459,2229,3617,3078,4617,1579
"Sabe leer y escribir (005)",18301,,1519,2436,2197,3547,3021,4336,1245
"No sabe leer y escribir (006)",2128,865,466,23,32,70,57,281,334
"Mujeres (008)",19479,775,1776,2383,2082,3433,3077,4544,1409
"Sabe leer y escribir (009)",16212,,1380,2346,2027,3276,2867,3596,720
"No sabe leer y escribir (010)",3267,775,396,37,55,157,210,948,689
,,,,,,,,,
"URBANA (012)",27770,1109,2561,3218,2945,4995,4401,6543,1998
"Sabe leer y escribir (013)",24739,,1997,3185,2889,4892,4281,5973,1522
"No sabe leer y escribir (014)",3031,1109,564,33,56,103,120,570,476
"Hombres (016)",14007,607,1348,1618,1510,2471,2164,3248,1041
"Sabe leer y escribir (017)",12786,,1052,1609,1493,2437,2143,3136,916
"No sabe leer y escribir (018)",1221,607,296,9,17,34,21,112,125
"Mujeres (020)",13763,502,1213,1600,1435,2524,2237,3295,957
"Sabe leer y escribir (021)",11953,,945,1576,1396,2455,2138,2837,606
"No sabe leer y escribir (022)",1810,502,268,24,39,69,99,458,351
,,,,,,,,,
"RURAL (024)",12138,531,1200,1624,1366,2055,1754,2618,990
"Sabe leer y escribir (025)",9774,,902,1597,1335,1931,1607,1959,443
"No sabe leer y escribir (026)",2364,531,298,27,31,124,147,659,547
"Hombres (028)",6422,258,637,841,719,1146,914,1369,538
"Sabe leer y escribir (029)",5515,,467,827,704,1110,878,1200,329
"No sabe leer y escribir (030)",907,258,170,14,15,36,36,169,209
"Mujeres (032)",5716,273,563,783,647,909,840,1249,452
"Sabe leer y escribir (033)",4259,,435,770,631,821,729,759,114
"No sabe leer y escribir (034)",1457,273,128,13,16,88,111,490,338
