"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia SAN MARTIN (000)",157756,142969,14787
"Casa independiente (001)",143666,133796,9870
"Departamento en edificio (002)",781,781,
"Vivienda en quinta (003)",5945,5945,
"Vivienda en casa de vecindad (004)",1358,1358,
"Choza o cabaña (005)",4909,,4909
"Vivienda improvisada (006)",811,811,
"Local no dest.para hab. humana (007)",227,222,5
"Otro tipo (008)",59,56,3
