"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia HUAMANGA (000)",55557,52638,334,12430,11102,8254,10780,6213,2744,781,2919,178210
"De 12 a 14 años (001)",96,42,8,28,6,,,,,,54,40
"De 15 a 19 años (002)",1558,1434,39,1223,151,18,3,,,,124,1591
"De 20 a 24 años (003)",6170,5092,59,3283,1383,304,57,6,,,1078,7241
"De 25 a 29 años (004)",7616,6823,38,2915,2253,1095,485,31,6,,793,13000
"De 30 a 34 años (005)",7531,7226,24,1899,2337,1459,1265,229,12,1,305,17976
"De 35 a 39 años (006)",6737,6600,24,1043,1690,1525,1682,508,112,16,137,20639
"De 40 a 44 años (007)",5847,5753,22,586,1102,1189,1661,850,286,57,94,22110
"De 45 a 49 años (008)",4546,4488,20,385,666,823,1295,826,369,104,58,19444
"De 50 y más años (009)",15456,15180,100,1068,1514,1841,4332,3763,1959,603,276,76169
"Conviviente (010)",14848,14487,121,5393,4183,2231,1766,605,154,34,361,33642
"De 12 a 14 años (011)",66,26,7,16,3,,,,,,40,22
"De 15 a 19 años (012)",893,801,23,661,106,10,1,,,,92,907
"De 20 a 24 años (013)",3194,3069,40,1941,874,180,28,6,,,125,4383
"De 25 a 29 años (014)",3585,3521,22,1491,1251,542,202,11,2,,64,6561
"De 30 a 34 años (015)",2866,2850,9,745,994,602,437,61,2,,16,6814
"De 35 a 39 años (016)",1812,1806,10,287,544,435,414,100,15,1,6,5235
"De 40 a 44 años (017)",1084,1079,4,127,211,245,291,162,32,7,5,3948
"De 45 a 49 años (018)",536,532,4,47,96,106,159,96,21,3,4,2081
"De 50 y más años (019)",812,803,2,78,104,111,234,169,82,23,9,3691
"Separado(a) (020)",3970,3942,12,1379,936,644,632,242,85,12,28,10337
"De 12 a 14 años (021)",4,3,,3,,,,,,,1,3
