"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia HUAYLAS (000)",17787,5719,12068
"Casa independiente (001)",17515,5563,11952
"Departamento en edificio (002)",35,35,
"Vivienda en quinta (003)",51,51,
"Vivienda en casa de vecindad (004)",54,54,
"Choza o cabaña (005)",108,,108
"Vivienda improvisada (006)",14,14,
"Local no dest.para hab. humana (007)",8,2,6
"Otro tipo (008)",2,,2
