"CUADRO Nº 1: POBLACIÓN TOTAL, POR ÁREA URBANA Y RURAL, Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",TOTAL,POBLACIÓN,,TOTAL,URBANA,,TOTAL,RURAL,
,,HOMBRES,MUJERES,,HOMBRES,MUJERES,,HOMBRES,MUJERES
,,,,,,,,,
"Provincia PACASMAYO (000)",94377,46661,47716,87718,43227,44491,6659,3434,3225
"Menores de 1 año (001)",1672,873,799,1549,804,745,123,69,54
"Menores de 1 mes (002)",198,105,93,189,101,88,9,4,5
"De 1 a 11 meses (003)",1474,768,706,1360,703,657,114,65,49
"De 1 a 4 años (004)",7175,3595,3580,6609,3318,3291,566,277,289
"1 año (005)",1646,865,781,1493,791,702,153,74,79
"2 años (006)",1864,885,979,1718,819,899,146,66,80
"3 años (007)",1888,947,941,1767,887,880,121,60,61
"4 años (008)",1777,898,879,1631,821,810,146,77,69
"De 5 a 9 años (009)",8124,4100,4024,7497,3767,3730,627,333,294
"5 años (010)",1605,818,787,1471,741,730,134,77,57
"6 años (011)",1476,744,732,1363,680,683,113,64,49
"7 años (012)",1631,804,827,1487,740,747,144,64,80
"8 años (013)",1739,878,861,1627,819,808,112,59,53
"9 años (014)",1673,856,817,1549,787,762,124,69,55
"De 10 a 14 años (015)",10035,5008,5027,9314,4649,4665,721,359,362
"10 años (016)",2024,1001,1023,1874,926,948,150,75,75
"11 años (017)",1885,929,956,1746,867,879,139,62,77
"12 años (018)",2012,1011,1001,1875,938,937,137,73,64
"13 años (019)",2020,1026,994,1880,960,920,140,66,74
"14 años (020)",2094,1041,1053,1939,958,981,155,83,72
"De 15 a 19 años (021)",8999,4486,4513,8378,4165,4213,621,321,300
"15 años (022)",2069,1043,1026,1946,985,961,123,58,65
"16 años (023)",1891,932,959,1757,863,894,134,69,65
"17 años (024)",1738,910,828,1613,839,774,125,71,54
"18 años (025)",1656,835,821,1535,763,772,121,72,49
"19 años (026)",1645,766,879,1527,715,812,118,51,67
"De 20 a 24 años (027)",7646,3829,3817,7031,3508,3523,615,321,294
"20 años (028)",1629,851,778,1515,793,722,114,58,56
"21 años (029)",1434,682,752,1306,625,681,128,57,71
"22 años (030)",1550,752,798,1434,686,748,116,66,50
"23 años (031)",1514,774,740,1380,704,676,134,70,64
"24 años (032)",1519,770,749,1396,700,696,123,70,53
"De 25 a 29 años (033)",7283,3488,3795,6724,3206,3518,559,282,277
"25 años (034)",1568,713,855,1438,659,779,130,54,76
"26 años (035)",1332,656,676,1247,616,631,85,40,45
"27 años (036)",1531,744,787,1421,676,745,110,68,42
"28 años (037)",1490,709,781,1362,653,709,128,56,72
"29 años (038)",1362,666,696,1256,602,654,106,64,42
"De 30 a 34 años (039)",6968,3333,3635,6497,3093,3404,471,240,231
"30 años (040)",1520,725,795,1421,671,750,99,54,45
"31 años (041)",1277,626,651,1201,591,610,76,35,41
"32 años (042)",1469,681,788,1356,624,732,113,57,56
"33 años (043)",1424,683,741,1323,632,691,101,51,50
