"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia LA MAR (000)",43392,23983,66,460,17178,752,65,66,76,746
"Hombres (001)",16627,12456,53,219,2921,380,49,39,76,434
"Mujeres (002)",26765,11527,13,241,14257,372,16,27,,312
"De 06 a 14 años (003)",20484,19280,,,486,411,,17,,290
"Hombres (004)",10457,9865,,,221,215,,13,,143
"Mujeres (005)",10027,9415,,,265,196,,4,,147
"De 15 a 29 años (006)",10638,4553,7,157,5652,,26,20,76,147
"Hombres (007)",3766,2541,3,70,951,,22,13,76,90
"Mujeres (008)",6872,2012,4,87,4701,,4,7,,57
"De 30 a 44 años (009)",5542,109,9,125,5152,,21,8,,118
"Hombres (010)",922,39,8,62,711,,14,4,,84
"Mujeres (011)",4620,70,1,63,4441,,7,4,,34
"De 45 a 64 años (012)",4049,38,17,104,3749,11,18,7,,105
"Hombres (013)",700,9,12,47,548,2,13,3,,66
"Mujeres (014)",3349,29,5,57,3201,9,5,4,,39
"De 65 y más años (015)",2679,3,33,74,2139,330,,14,,86
"Hombres (016)",782,2,30,40,490,163,,6,,51
"Mujeres (017)",1897,1,3,34,1649,167,,8,,35
,,,,,,,,,,
"AREA URBANA (018)",16620,9878,42,250,5899,187,27,25,1,311
"Hombres (019)",6676,5089,34,121,1138,83,19,15,1,176
"Mujeres (020)",9944,4789,8,129,4761,104,8,10,,135
"De 06 a 14 años (021)",8017,7575,,,244,95,,7,,96
"Hombres (022)",4067,3848,,,121,51,,4,,43
"Mujeres (023)",3950,3727,,,123,44,,3,,53
"De 15 a 29 años (024)",4499,2244,5,87,2075,,9,9,1,69
"Hombres (025)",1730,1219,2,42,409,,7,7,1,43
"Mujeres (026)",2769,1025,3,45,1666,,2,2,,26
"De 30 a 44 años (027)",2012,49,6,75,1817,,9,3,,53
"Hombres (028)",384,20,6,37,277,,6,,,38
"Mujeres (029)",1628,29,,38,1540,,3,3,,15
"De 45 a 64 años (030)",1297,9,16,62,1150,1,9,2,,48
"Hombres (031)",267,1,12,27,192,,6,2,,27
"Mujeres (032)",1030,8,4,35,958,1,3,,,21
"De 65 y más años (033)",795,1,15,26,613,91,,4,,45
"Hombres (034)",228,1,14,15,139,32,,2,,25
"Mujeres (035)",567,,1,11,474,59,,2,,20
,,,,,,,,,,
"AREA RURAL (036)",26772,14105,24,210,11279,565,38,41,75,435
"Hombres (037)",9951,7367,19,98,1783,297,30,24,75,258
"Mujeres (038)",16821,6738,5,112,9496,268,8,17,,177
"De 06 a 14 años (039)",12467,11705,,,242,316,,10,,194
"Hombres (040)",6390,6017,,,100,164,,9,,100
"Mujeres (041)",6077,5688,,,142,152,,1,,94
"De 15 a 29 años (042)",6139,2309,2,70,3577,,17,11,75,78
"Hombres (043)",2036,1322,1,28,542,,15,6,75,47
"Mujeres (044)",4103,987,1,42,3035,,2,5,,31
"De 30 a 44 años (045)",3530,60,3,50,3335,,12,5,,65
"Hombres (046)",538,19,2,25,434,,8,4,,46
"Mujeres (047)",2992,41,1,25,2901,,4,1,,19
"De 45 a 64 años (048)",2752,29,1,42,2599,10,9,5,,57
"Hombres (049)",433,8,,20,356,2,7,1,,39
"Mujeres (050)",2319,21,1,22,2243,8,2,4,,18
"De 65 y más años (051)",1884,2,18,48,1526,239,,10,,41
"Hombres (052)",554,1,16,25,351,131,,4,,26
"Mujeres (053)",1330,1,2,23,1175,108,,6,,15
