"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia SAN ROMAN (000)",238281,218183,20098
"Casa independiente (001)",213002,193636,19366
"Departamento en edificio (002)",2475,2475,
"Vivienda en quinta (003)",2738,2738,
"Vivienda en casa de vecindad (004)",19087,19087,
"Choza o cabaña (005)",727,,727
"Vivienda improvisada (006)",48,48,
"Local no dest.para hab. humana (007)",155,150,5
"Otro tipo (008)",49,49,
