"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia PUERTO INCA (000)",9214,27141,24830,,765,91.5,2.8
"De 12 a 14 años (001)",1191,16,15,,8,93.8,50
"De 15 a 19 años (002)",1435,591,575,141,97.3,23.9,
"De 20 a 24 años (003)",1217,1761,1715,211,97.4,12,
"De 25 a 29 años (004)",1111,2587,2510,166,97,6.4,
"De 30 a 34 años (005)",913,3093,2976,112,96.2,3.6,
"De 35 a 39 años (006)",877,3845,3624,82,94.3,2.1,
"De 40 a 44 años (007)",693,3613,3369,38,93.2,1.1,
"De 45 a 49 años (008)",529,3210,2936,7,91.5,0.2,
"De 50 y más años (009)",1248,8425,7110,,84.4,,
"Sin nivel (010)",1147,6330,5459,59,86.2,0.9,
"De 12 a 14 años (011)",9,,,,,,
"De 15 a 19 años (012)",37,25,25,9,100,36,
"De 20 a 24 años (013)",61,122,112,12,91.8,9.8,
"De 25 a 29 años (014)",70,223,210,11,94.2,4.9,
"De 30 a 34 años (015)",92,391,370,9,94.6,2.3,
"De 35 a 39 años (016)",123,649,592,10,91.2,1.5,
"De 40 a 44 años (017)",124,679,622,8,91.6,1.2,
"De 45 a 49 años (018)",104,647,590,,91.2,,
"De 50 y más años (019)",527,3594,2938,,81.7,,
"Educacion Inicial (020)",10,28,27,2,96.4,7.1,
"De 12 a 14 años (021)",1,,,,,,
"De 20 a 24 años (023)",3,5,5,2,100,40,
"De 25 a 29 años (024)",1,3,3,,100,,
"De 30 a 34 años (025)",3,12,12,,100,,
"De 35 a 39 años (026)",2,8,7,,87.5,,
"Primaria (030)",5075,16344,15079,468,92.3,2.9,
"De 12 a 14 años (031)",809,14,13,7,92.9,50,
"De 15 a 19 años (032)",657,382,370,85,96.9,22.3,
"De 20 a 24 años (033)",582,1023,997,115,97.5,11.2,
"De 25 a 29 años (034)",600,1641,1593,105,97.1,6.4,
"De 30 a 34 años (035)",513,1931,1860,69,96.3,3.6,
"De 35 a 39 años (036)",516,2442,2309,57,94.6,2.3,
"De 40 a 44 años (037)",427,2388,2226,25,93.2,1,
"De 45 a 49 años (038)",335,2154,1957,5,90.9,0.2,
"De 50 y más años (039)",636,4369,3754,,85.9,,
"Secundaria (040)",2518,3827,3673,210,96,5.5,
"De 12 a 14 años (041)",372,2,2,1,100,50,
