"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CHUPACA (000)",760,10,399,225,102,24
"Conviviente (001)",176,,84,75,17,
"Separado(a) (002)",21,,8,6,7,
"Casado(a) (003)",181,1,17,88,61,14
"Viudo(a) (004)",17,,,1,8,8
"Divorciado(a) (005)",1,,,,1,
"Soltero(a) (006)",364,9,290,55,8,2
"Hombres (008)",544,6,277,162,82,17
"Conviviente (009)",125,,56,56,13,
"Separado(a) (010)",7,,2,2,3,
"Casado(a) (011)",150,,13,73,53,11
"Viudo(a) (012)",11,,,1,6,4
"Soltero(a) (014)",251,6,206,30,7,2
"Mujeres (016)",216,4,122,63,20,7
"Conviviente (017)",51,,28,19,4,
"Separado(a) (018)",14,,6,4,4,
"Casado(a) (019)",31,1,4,15,8,3
"Viudo(a) (020)",6,,,,2,4
"Divorciado(a) (021)",1,,,,1,
"Soltero(a) (022)",113,3,84,25,1,
,,,,,,
"AREA URBANA (024)",498,6,266,146,65,15
"Conviviente (025)",117,,57,48,12,
"Separado(a) (026)",16,,6,6,4,
"Casado(a) (027)",110,1,12,53,35,9
"Viudo(a) (028)",15,,,1,8,6
"Soltero(a) (030)",240,5,191,38,6,
"Hombres (032)",337,4,175,100,49,9
"Conviviente (033)",78,,32,37,9,
"Separado(a) (034)",6,,2,2,2,
"Casado(a) (035)",82,,9,40,27,6
"Viudo(a) (036)",10,,,1,6,3
"Soltero(a) (038)",161,4,132,20,5,
"Mujeres (040)",161,2,91,46,16,6
"Conviviente (041)",39,,25,11,3,
"Separado(a) (042)",10,,4,4,2,
"Casado(a) (043)",28,1,3,13,8,3
"Viudo(a) (044)",5,,,,2,3
"Soltero(a) (046)",79,1,59,18,1,
,,,,,,
"AREA RURAL (048)",262,4,133,79,37,9
"Conviviente (049)",59,,27,27,5,
"Separado(a) (050)",5,,2,,3,
"Casado(a) (051)",71,,5,35,26,5
"Viudo(a) (052)",2,,,,,2
"Divorciado(a) (053)",1,,,,1,
"Soltero(a) (054)",124,4,99,17,2,2
"Hombres (056)",207,2,102,62,33,8
"Conviviente (057)",47,,24,19,4,
"Separado(a) (058)",1,,,,1,
"Casado(a) (059)",68,,4,33,26,5
"Viudo(a) (060)",1,,,,,1
"Soltero(a) (062)",90,2,74,10,2,2
"Mujeres (064)",55,2,31,17,4,1
"Conviviente (065)",12,,3,8,1,
"Separado(a) (066)",4,,2,,2,
"Casado(a) (067)",3,,1,2,,
"Viudo(a) (068)",1,,,,,1
"Divorciado(a) (069)",1,,,,1,
"Soltero(a) (070)",34,2,25,7,,
