"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia HUANCAYO (000)",461978,407794,54184
"Casa independiente (001)",412321,359401,52920
"Departamento en edificio (002)",13301,13301,
"Vivienda en quinta (003)",15156,15156,
"Vivienda en casa de vecindad (004)",18741,18741,
"Choza o cabaña (005)",1162,,1162
"Vivienda improvisada (006)",540,540,
"Local no dest.para hab. humana (007)",698,596,102
"Otro tipo (008)",59,59,
