"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CAÑETE (000)",66214,48785,17429
"Casa independiente (001)",60558,44940,15618
"Departamento en edificio (002)",553,553,
"Vivienda en quinta (003)",486,486,
"Vivienda en casa de vecindad (004)",377,377,
"Choza o cabaña (005)",1742,,1742
"Vivienda improvisada (006)",2265,2265,
"Local no dest.para hab. humana (007)",125,102,23
"Otro tipo (008)",108,62,46
