"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia SAN MARTIN (000)",61011,58660,18017,9351,9566,7279,7260,3593,1975,1619,2351,140297
"De 12 a 14 años (001)",5375,5343,5301,34,8,,,,,,32,50
"De 15 a 19 años (002)",9170,8957,7554,1157,195,43,8,,,,213,1708
"De 20 a 24 años (003)",7753,6875,2905,2490,1116,288,69,7,,,878,5920
"De 25 a 29 años (004)",6538,5906,1057,2073,1639,747,354,30,6,,632,9314
"De 30 a 34 años (005)",5987,5736,458,1368,1881,1107,777,125,19,1,251,12734
"De 35 a 39 años (006)",5843,5710,228,812,1671,1454,1124,314,90,17,133,16314
"De 40 a 44 años (007)",5088,5026,175,520,1256,1221,1208,437,172,37,62,16606
"De 45 a 49 años (008)",3989,3946,121,317,781,950,1008,473,199,97,43,14903
"De 50 y más años (009)",11268,11161,218,580,1019,1469,2712,2207,1489,1467,107,62748
"Sin nivel (010)",2351,2272,193,121,127,158,404,444,348,477,79,14000
"De 12 a 14 años (011)",30,30,29,1,,,,,,,,1
"De 15 a 19 años (012)",84,83,63,13,6,1,,,,,1,28
"De 20 a 24 años (013)",78,64,23,14,18,5,4,,,,14,81
"De 25 a 29 años (014)",88,74,6,11,18,20,17,2,,,14,193
"De 30 a 34 años (015)",109,97,11,5,17,23,29,10,2,,12,313
"De 35 a 39 años (016)",141,131,8,9,8,23,51,23,7,2,10,550
"De 40 a 44 años (017)",159,152,12,8,10,12,44,39,25,2,7,742
"De 45 a 49 años (018)",167,161,7,10,7,16,32,47,25,17,6,908
"De 50 y más años (019)",1495,1480,34,50,43,58,227,323,289,456,15,11184
"Educacion Inicial (020)",81,76,31,18,13,5,6,3,,,5,104
"De 12 a 14 años (021)",13,12,11,1,,,,,,,1,1
