"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia TAHUAMANU (000)",5541,58,1902,2176,1204,201
"Agric., ganadería, caza y silvicultura (001)",1602,30,485,501,438,148
"Pesca (002)",13,,7,4,2,
"Explotación de minas y canteras (003)",341,,97,169,74,1
"Industrias manufactureras (004)",266,1,103,101,51,10
"Suministro de electricidad, gas y agua (005)",11,,9,2,,
"Construcción (006)",1595,3,611,696,272,13
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",383,7,118,159,87,12
"Venta, mant.y rep. veh.autom.y motoc. (008)",45,,19,12,12,2
"Comercio al por mayor (009)",33,,7,17,9,
"Comercio al por menor (010)",305,7,92,130,66,10
"Hoteles y restaurantes (011)",279,8,116,95,56,4
"Trans., almac. y comunicaciones (012)",259,1,118,96,42,2
"Intermediación financiera (013)",10,,4,5,1,
"Activid.inmobil., empres. y alquileres (014)",73,,25,33,14,1
"Admin.pub. y defensa; p. segur.soc.afil (015)",213,,62,90,57,4
"Enseñanza (016)",191,,27,113,51,
"Servicios sociales y de salud (017)",91,1,20,46,24,
"Otras activ. serv.comun.soc y personales (018)",87,3,36,27,19,2
"Hogares privados con servicio doméstico (019)",47,3,29,11,3,1
"Actividad economica no especificada (021)",80,1,35,28,13,3
"Hombres (022)",4335,34,1433,1705,988,175
"Agric., ganadería, caza y silvicultura (023)",1381,24,426,429,369,133
"Pesca (024)",12,,6,4,2,
"Explotación de minas y canteras (025)",331,,92,165,73,1
"Industrias manufactureras (026)",248,1,98,93,46,10
"Suministro de electricidad, gas y agua (027)",7,,5,2,,
"Construcción (028)",1448,3,519,646,267,13
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",164,1,43,62,52,6
"Venta, mant.y rep. veh.autom.y motoc. (030)",40,,18,9,11,2
"Comercio al por mayor (031)",19,,2,12,5,
"Comercio al por menor (032)",105,1,23,41,36,4
"Hoteles y restaurantes (033)",62,2,26,20,12,2
"Trans., almac. y comunicaciones (034)",243,1,108,90,42,2
"Intermediación financiera (035)",5,,1,3,1,
"Activid.inmobil., empres. y alquileres (036)",56,,17,25,13,1
"Admin.pub. y defensa; p. segur.soc.afil (037)",161,,42,64,51,4
"Enseñanza (038)",105,,14,58,33,
"Servicios sociales y de salud (039)",38,,6,16,16,
"Otras activ. serv.comun.soc y personales (040)",48,2,18,19,7,2
"Hogares privados con servicio doméstico (041)",3,,1,1,,1
