"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia CHUMBIVILCAS (000)",18283,72,295,793,1657,3610,7494,4362
"De 12 a 14 años (001)",55,,,,,,3,52
"De 15 a 19 años (002)",493,,,,,,277,216
"De 20 a 24 años (003)",1718,,,,,3,1132,583
"De 25 a 29 años (004)",2102,,,,,48,1547,507
"De 30 a 34 años (005)",2026,,,,,214,1463,349
"De 35 a 39 años (006)",2019,,,,9,444,1278,288
"De 40 a 44 años (007)",2003,,,,39,635,1049,280
"De 45 a 49 años (008)",1727,,,2,105,803,598,219
"De 50 y más años (009)",6140,72,295,791,1504,1463,147,1868
"Sin nivel (010)",7981,60,263,682,1264,1845,1782,2085
"De 12 a 14 años (011)",1,,,,,,,1
"De 15 a 19 años (012)",20,,,,,,9,11
"De 20 a 24 años (013)",96,,,,,,55,41
"De 25 a 29 años (014)",214,,,,,5,165,44
"De 30 a 34 años (015)",372,,,,,33,272,67
"De 35 a 39 años (016)",554,,,,,114,364,76
"De 40 a 44 años (017)",854,,,,12,239,470,133
"De 45 a 49 años (018)",885,,,1,38,408,331,107
"De 50 y más años (019)",4985,60,263,681,1214,1046,116,1605
"Educacion Inicial (020)",27,,,,,3,18,6
"De 15 a 19 años (022)",1,,,,,,,1
"De 20 a 24 años (023)",4,,,,,,2,2
"De 25 a 29 años (024)",5,,,,,,4,1
"De 30 a 34 años (025)",9,,,,,1,7,1
"De 35 a 39 años (026)",8,,,,,2,5,1
"Primaria (030)",7268,8,27,97,326,1470,4042,1298
"De 12 a 14 años (031)",41,,,,,,2,39
"De 15 a 19 años (032)",234,,,,,,141,93
"De 20 a 24 años (033)",874,,,,,3,627,244
"De 25 a 29 años (034)",1171,,,,,29,912,230
"De 30 a 34 años (035)",1137,,,,,123,867,147
"De 35 a 39 años (036)",1107,,,,8,255,715,129
"De 40 a 44 años (037)",968,,,,16,340,508,104
"De 45 a 49 años (038)",723,,,1,53,338,240,91
"De 50 y más años (039)",1013,8,27,96,249,382,30,221
"Secundaria (040)",2298,4,3,9,34,198,1356,694
"De 12 a 14 años (041)",13,,,,,,1,12
"De 15 a 19 años (042)",235,,,,,,126,109
"De 20 a 24 años (043)",665,,,,,,417,248
"De 25 a 29 años (044)",547,,,,,13,398,136
"De 30 a 34 años (045)",350,,,,,41,230,79
"De 35 a 39 años (046)",222,,,,1,52,118,51
"De 40 a 44 años (047)",107,,,,4,34,48,21
"De 45 a 49 años (048)",71,,,,8,33,18,12
"De 50 y más años (049)",88,4,3,9,21,25,,26
"Sup. no Univ. incompleta (050)",145,,,,7,9,69,60
