"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia ANDAHUAYLAS (000)",102463,19653,19291,19085,16595,10813,17026
"Conviviente (001)",16618,381,4700,6600,2986,1074,877
"Separado(a) (002)",2336,30,396,575,576,380,379
"Casado(a) (003)",40896,86,1855,8589,11652,8150,10564
"Viudo(a) (004)",5627,9,24,113,323,664,4494
"Divorciado(a) (005)",396,,19,63,87,90,137
"Soltero(a) (006)",36590,19147,12297,3145,971,455,575
"Hombres (008)",49093,9898,9514,9045,8056,5125,7455
"Conviviente (009)",8092,153,1774,3404,1677,608,476
"Separado(a) (010)",438,5,32,75,120,88,118
"Casado(a) (011)",20152,47,612,3836,5754,4139,5764
"Viudo(a) (012)",1072,5,7,16,53,95,896
"Divorciado(a) (013)",135,,6,14,29,40,46
"Soltero(a) (014)",19204,9688,7083,1700,423,155,155
"Mujeres (016)",53370,9755,9777,10040,8539,5688,9571
"Conviviente (017)",8526,228,2926,3196,1309,466,401
"Separado(a) (018)",1898,25,364,500,456,292,261
"Casado(a) (019)",20744,39,1243,4753,5898,4011,4800
"Viudo(a) (020)",4555,4,17,97,270,569,3598
"Divorciado(a) (021)",261,,13,49,58,50,91
"Soltero(a) (022)",17386,9459,5214,1445,548,300,420
,,,,,,,
"URBANA (024)",47372,8843,9488,9525,8177,4894,6445
"Conviviente (025)",9235,211,2228,3878,1910,631,377
"Separado(a) (026)",1284,11,164,331,349,226,203
"Casado(a) (027)",16537,45,540,3204,5211,3521,4016
"Viudo(a) (028)",1888,7,11,45,113,224,1488
"Divorciado(a) (029)",218,,7,23,50,53,85
"Soltero(a) (030)",18210,8569,6538,2044,544,239,276
"Hombres (032)",22675,4335,4638,4415,4011,2384,2892
"Conviviente (033)",4496,101,794,1920,1095,378,208
"Separado(a) (034)",257,1,19,53,79,48,57
"Casado(a) (035)",8121,27,178,1313,2551,1818,2234
"Viudo(a) (036)",339,4,6,9,17,25,278
"Divorciado(a) (037)",84,,2,9,18,26,29
"Soltero(a) (038)",9378,4202,3639,1111,251,89,86
"Mujeres (040)",24697,4508,4850,5110,4166,2510,3553
"Conviviente (041)",4739,110,1434,1958,815,253,169
"Separado(a) (042)",1027,10,145,278,270,178,146
"Casado(a) (043)",8416,18,362,1891,2660,1703,1782
"Viudo(a) (044)",1549,3,5,36,96,199,1210
"Divorciado(a) (045)",134,,5,14,32,27,56
"Soltero(a) (046)",8832,4367,2899,933,293,150,190
,,,,,,,
"RURAL (048)",55091,10810,9803,9560,8418,5919,10581
"Conviviente (049)",7383,170,2472,2722,1076,443,500
"Separado(a) (050)",1052,19,232,244,227,154,176
"Casado(a) (051)",24359,41,1315,5385,6441,4629,6548
"Viudo(a) (052)",3739,2,13,68,210,440,3006
"Divorciado(a) (053)",178,,12,40,37,37,52
"Soltero(a) (054)",18380,10578,5759,1101,427,216,299
"Hombres (056)",26418,5563,4876,4630,4045,2741,4563
"Conviviente (057)",3596,52,980,1484,582,230,268
"Separado(a) (058)",181,4,13,22,41,40,61
"Casado(a) (059)",12031,20,434,2523,3203,2321,3530
"Viudo(a) (060)",733,1,1,7,36,70,618
"Divorciado(a) (061)",51,,4,5,11,14,17
"Soltero(a) (062)",9826,5486,3444,589,172,66,69
"Mujeres (064)",28673,5247,4927,4930,4373,3178,6018
"Conviviente (065)",3787,118,1492,1238,494,213,232
"Separado(a) (066)",871,15,219,222,186,114,115
"Casado(a) (067)",12328,21,881,2862,3238,2308,3018
"Viudo(a) (068)",3006,1,12,61,174,370,2388
"Divorciado(a) (069)",127,,8,35,26,23,35
"Soltero(a) (070)",8554,5092,2315,512,255,150,230
