"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia CUSCO (000)",287712,38698,63234,64074,48218,33324,40164
"Conviviente (001)",69184,836,13264,28303,17091,6482,3208
"Separado(a) (002)",8845,69,665,2053,2590,1941,1527
"Casado(a) (003)",77430,122,1309,11328,21065,19892,23714
"Viudo(a) (004)",10494,4,42,219,676,1364,8189
"Divorciado(a) (005)",2641,,77,223,566,790,985
"Soltero(a) (006)",119118,37667,47877,21948,6230,2855,2541
"Hombres (008)",136788,18913,30504,30194,22568,15759,18850
"Conviviente (009)",33079,402,4817,13185,9057,3732,1886
"Separado(a) (010)",2305,37,109,431,680,553,495
"Casado(a) (011)",37310,71,471,4494,9500,9699,13075
"Viudo(a) (012)",2607,2,15,54,157,269,2110
"Divorciado(a) (013)",948,,31,79,187,283,368
"Soltero(a) (014)",60539,18401,25061,11951,2987,1223,916
"Mujeres (016)",150924,19785,32730,33880,25650,17565,21314
"Conviviente (017)",36105,434,8447,15118,8034,2750,1322
"Separado(a) (018)",6540,32,556,1622,1910,1388,1032
"Casado(a) (019)",40120,51,838,6834,11565,10193,10639
"Viudo(a) (020)",7887,2,27,165,519,1095,6079
"Divorciado(a) (021)",1693,,46,144,379,507,617
"Soltero(a) (022)",58579,19266,22816,9997,3243,1632,1625
,,,,,,,
"URBANA (024)",276604,36723,61278,61797,46119,32091,38596
"Conviviente (025)",66336,813,12702,27117,16388,6233,3083
"Separado(a) (026)",8634,67,628,2000,2533,1903,1503
"Casado(a) (027)",73806,117,1227,10647,19880,19080,22855
"Viudo(a) (028)",9815,2,40,205,616,1273,7679
"Divorciado(a) (029)",2611,,77,219,560,781,974
"Soltero(a) (030)",115402,35724,46604,21609,6142,2821,2502
"Hombres (032)",131227,17885,29483,29076,21511,15129,18143
"Conviviente (033)",31668,393,4610,12592,8671,3594,1808
"Separado(a) (034)",2251,36,106,423,664,535,487
"Casado(a) (035)",35533,69,446,4217,8918,9272,12611
"Viudo(a) (036)",2431,,15,50,144,245,1977
"Divorciado(a) (037)",930,,31,78,183,277,361
"Soltero(a) (038)",58414,17387,24275,11716,2931,1206,899
"Mujeres (040)",145377,18838,31795,32721,24608,16962,20453
"Conviviente (041)",34668,420,8092,14525,7717,2639,1275
"Separado(a) (042)",6383,31,522,1577,1869,1368,1016
"Casado(a) (043)",38273,48,781,6430,10962,9808,10244
"Viudo(a) (044)",7384,2,25,155,472,1028,5702
"Divorciado(a) (045)",1681,,46,141,377,504,613
"Soltero(a) (046)",56988,18337,22329,9893,3211,1615,1603
,,,,,,,
"RURAL (048)",11108,1975,1956,2277,2099,1233,1568
"Conviviente (049)",2848,23,562,1186,703,249,125
"Separado(a) (050)",211,2,37,53,57,38,24
"Casado(a) (051)",3624,5,82,681,1185,812,859
"Viudo(a) (052)",679,2,2,14,60,91,510
"Divorciado(a) (053)",30,,,4,6,9,11
"Soltero(a) (054)",3716,1943,1273,339,88,34,39
"Hombres (056)",5561,1028,1021,1118,1057,630,707
"Conviviente (057)",1411,9,207,593,386,138,78
"Separado(a) (058)",54,1,3,8,16,18,8
"Casado(a) (059)",1777,2,25,277,582,427,464
"Viudo(a) (060)",176,2,,4,13,24,133
"Divorciado(a) (061)",18,,,1,4,6,7
"Soltero(a) (062)",2125,1014,786,235,56,17,17
"Mujeres (064)",5547,947,935,1159,1042,603,861
"Conviviente (065)",1437,14,355,593,317,111,47
"Separado(a) (066)",157,1,34,45,41,20,16
"Casado(a) (067)",1847,3,57,404,603,385,395
"Viudo(a) (068)",503,,2,10,47,67,377
"Divorciado(a) (069)",12,,,3,2,3,4
"Soltero(a) (070)",1591,929,487,104,32,17,22
