"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia CHANCHAMAYO (000)",83369,69765,13604
"De 3 a 5 años (001)",11696,943,10753
"De 6 a 11 años (002)",25882,23601,2281
"De 12 a 16 años (003)",20181,19976,205
"De 17 a 24 años (004)",25610,25245,365
"Hombres (005)",43423,36420,7003
"De 3 a 5 años (006)",6003,493,5510
"De 6 a 11 años (007)",13251,12046,1205
"De 12 a 16 años (008)",10476,10353,123
"De 17 a 24 años (009)",13693,13528,165
"Mujeres (010)",39946,33345,6601
"De 3 a 5 años (011)",5693,450,5243
"De 6 a 11 años (012)",12631,11555,1076
"De 12 a 16 años (013)",9705,9623,82
"De 17 a 24 años (014)",11917,11717,200
,,,
"URBANA (015)",47677,40850,6827
"De 3 a 5 años (016)",6162,619,5543
"De 6 a 11 años (017)",14467,13428,1039
"De 12 a 16 años (018)",12300,12208,92
"De 17 a 24 años (019)",14748,14595,153
"Hombres (020)",24325,20784,3541
"De 3 a 5 años (021)",3205,327,2878
"De 6 a 11 años (022)",7356,6817,539
"De 12 a 16 años (023)",6251,6193,58
"De 17 a 24 años (024)",7513,7447,66
"Mujeres (025)",23352,20066,3286
"De 3 a 5 años (026)",2957,292,2665
"De 6 a 11 años (027)",7111,6611,500
"De 12 a 16 años (028)",6049,6015,34
"De 17 a 24 años (029)",7235,7148,87
,,,
"RURAL (030)",35692,28915,6777
"De 3 a 5 años (031)",5534,324,5210
"De 6 a 11 años (032)",11415,10173,1242
"De 12 a 16 años (033)",7881,7768,113
"De 17 a 24 años (034)",10862,10650,212
"Hombres (035)",19098,15636,3462
"De 3 a 5 años (036)",2798,166,2632
"De 6 a 11 años (037)",5895,5229,666
"De 12 a 16 años (038)",4225,4160,65
"De 17 a 24 años (039)",6180,6081,99
"Mujeres (040)",16594,13279,3315
"De 3 a 5 años (041)",2736,158,2578
"De 6 a 11 años (042)",5520,4944,576
"De 12 a 16 años (043)",3656,3608,48
"De 17 a 24 años (044)",4682,4569,113
