"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia PAUCARTAMBO (000)",14847,2929,11918
"Casa independiente (001)",12325,2460,9865
"Departamento en edificio (002)",2,2,
"Vivienda en quinta (003)",23,23,
"Vivienda en casa de vecindad (004)",406,406,
"Choza o cabaña (005)",2039,,2039
"Vivienda improvisada (006)",33,33,
"Local no dest.para hab. humana (007)",14,5,9
"Otro tipo (008)",5,,5
