"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia OXAPAMPA (000)",32420,2509,37,13617,10597,1206,1464,816,2174
"Miembros p.ejec. y leg.direct., adm.pub.y emp (001)",66,,,4,7,2,7,4,42
"Profes., científicos e intelectuales (002)",1945,,,,42,100,240,174,1389
"Técnicos de nivel medio ytrab.asimilados (003)",874,1,,47,153,174,277,90,132
"Jefes y empleados de oficina (004)",602,,,9,137,72,193,49,142
"Trab.de serv.pers.y vend.del comerc y mcdo. (005)",2843,93,3,728,1339,184,244,128,124
"Agricult.trabaj. calif.agrop. y pesquros (006)",10510,1104,8,5788,3107,191,101,112,99
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",1478,29,1,371,751,105,117,51,53
"Obreros. construc., conf., papel, fab., instr (008)",1681,12,,378,1006,101,81,61,42
"Trabaj.no calif.serv. peon, vend., amb.,y afines (009)",11588,1180,24,5966,3830,239,150,117,82
"Otra (010)",95,,,,14,8,30,12,31
"Ocupación no especificada (011)",738,90,1,326,211,30,24,18,38
"Hombres (012)",23696,1478,26,10508,8227,832,801,582,1242
"Miembros p.ejec. y leg.direct., adm.pub.y emp (013)",54,,,4,7,2,4,3,34
"Profes., científicos e intelectuales (014)",948,,,,12,37,98,96,705
"Técnicos de nivel medio ytrab.asimilados (015)",550,,,26,98,134,141,69,82
"Jefes y empleados de oficina (016)",281,,,5,75,26,67,25,83
"Trab.de serv.pers.y vend.del comerc y mcdo. (017)",1069,11,1,211,559,85,79,65,58
"Agricult.trabaj. calif.agrop. y pesquros (018)",9500,883,6,5287,2857,180,91,107,89
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",1341,14,1,333,694,99,102,51,47
"Obreros. construc., conf., papel, fab., instr (020)",1636,11,,365,988,95,79,60,38
"Trabaj.no calif.serv. peon, vend., amb.,y afines (021)",7884,533,18,4126,2814,147,103,85,58
"Otra (022)",94,,,,14,8,30,12,30
"Ocupación no especificada (023)",339,26,,151,109,19,7,9,18
"Mujeres (024)",8724,1031,11,3109,2370,374,663,234,932
"Miembros p.ejec. y leg.direct., adm.pub.y emp (025)",12,,,,,,3,1,8
"Profes., científicos e intelectuales (026)",997,,,,30,63,142,78,684
"Técnicos de nivel medio ytrab.asimilados (027)",324,1,,21,55,40,136,21,50
"Jefes y empleados de oficina (028)",321,,,4,62,46,126,24,59
"Trab.de serv.pers.y vend.del comerc y mcdo. (029)",1774,82,2,517,780,99,165,63,66
"Agricult.trabaj. calif.agrop. y pesquros (030)",1010,221,2,501,250,11,10,5,10
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",137,15,,38,57,6,15,,6
"Obreros. construc., conf., papel, fab., instr (032)",45,1,,13,18,6,2,1,4
"Trabaj.no calif.serv. peon, vend., amb.,y afines (033)",3704,647,6,1840,1016,92,47,32,24
"Otra (034)",1,,,,,,,,1
"Ocupación no especificada (035)",399,64,1,175,102,11,17,9,20
,,,,,,,,,
"URBANA (036)",13208,376,10,3183,5336,873,1109,621,1700
"Miembros p.ejec. y leg.direct., adm.pub.y emp (037)",44,,,1,4,,3,3,33
