"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CASTROVIRREYNA (000)",6492,369,3,2117,2520,279,569,129,506
"Miembros p.ejec. y leg.direct., adm.pub.y emp (001)",32,,,2,16,2,6,,6
"Profes., científicos e intelectuales (002)",602,,,,35,29,197,24,317
"Técnicos de nivel medio ytrab.asimilados (003)",163,,,1,27,35,63,18,19
"Jefes y empleados de oficina (004)",192,,,,44,20,58,15,55
"Trab.de serv.pers.y vend.del comerc y mcdo. (005)",364,10,,85,198,17,29,11,14
"Agricult.trabaj. calif.agrop. y pesquros (006)",2235,213,,1107,772,62,49,17,15
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",654,10,1,125,391,31,58,16,22
"Obreros. construc., conf., papel, fab., instr (008)",274,,,41,166,24,20,12,11
"Trabaj.no calif.serv. peon, vend., amb.,y afines (009)",1827,132,2,723,816,51,60,14,29
"Otra (010)",43,,,,8,1,20,,14
"Ocupación no especificada (011)",106,4,,33,47,7,9,2,4
"Hombres (012)",4531,111,2,1371,1995,229,375,106,342
"Miembros p.ejec. y leg.direct., adm.pub.y emp (013)",23,,,1,11,2,4,,5
"Profes., científicos e intelectuales (014)",318,,,,10,17,92,12,187
"Técnicos de nivel medio ytrab.asimilados (015)",138,,,1,25,33,48,17,14
"Jefes y empleados de oficina (016)",125,,,,30,12,30,10,43
"Trab.de serv.pers.y vend.del comerc y mcdo. (017)",137,1,,26,71,11,8,9,11
"Agricult.trabaj. calif.agrop. y pesquros (018)",1662,68,,815,651,56,46,15,11
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",640,10,1,123,382,30,56,16,22
"Obreros. construc., conf., papel, fab., instr (020)",270,,,40,163,24,20,12,11
"Trabaj.no calif.serv. peon, vend., amb.,y afines (021)",1114,30,1,350,613,39,46,13,22
"Otra (022)",42,,,,7,1,20,,14
"Ocupación no especificada (023)",62,2,,15,32,4,5,2,2
"Mujeres (024)",1961,258,1,746,525,50,194,23,164
"Miembros p.ejec. y leg.direct., adm.pub.y emp (025)",9,,,1,5,,2,,1
"Profes., científicos e intelectuales (026)",284,,,,25,12,105,12,130
"Técnicos de nivel medio ytrab.asimilados (027)",25,,,,2,2,15,1,5
"Jefes y empleados de oficina (028)",67,,,,14,8,28,5,12
"Trab.de serv.pers.y vend.del comerc y mcdo. (029)",227,9,,59,127,6,21,2,3
"Agricult.trabaj. calif.agrop. y pesquros (030)",573,145,,292,121,6,3,2,4
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",14,,,2,9,1,2,,
"Obreros. construc., conf., papel, fab., instr (032)",4,,,1,3,,,,
"Trabaj.no calif.serv. peon, vend., amb.,y afines (033)",713,102,1,373,203,12,14,1,7
"Otra (034)",1,,,,1,,,,
"Ocupación no especificada (035)",44,2,,18,15,3,4,,2
,,,,,,,,,
"URBANA (036)",2630,58,1,517,1088,163,361,75,367
"Miembros p.ejec. y leg.direct., adm.pub.y emp (037)",25,,,,12,2,5,,6
"Profes., científicos e intelectuales (038)",411,,,,13,13,138,14,233
